gig_type_encoded,age,is_main_income,tenure_months,days_per_week,hours_per_day,weekly_work_hours,lag_1w,lag_2w,lag_3w,lag_4w,rolling_mean_4w,rolling_std_4w,income_volatility,income_growth_1w,income_trend_slope,income_per_hour,is_payday_week,recent_vs_avg,peak_week,target_income
6,20,2,16,7,8,56,350500,292000,380500,461000,371000.0,70359.78965289763,0.1896,0.2003,-42000.0,6509.0,0,0.9447,0,382500
2,21,0,82,4,4,16,90000,75000,80000,80000,81250.0,6291.528696058957,0.0774,0.2,2500.0,4779.0,1,1.1077,4,90000
5,35,2,72,7,8,56,715000,565000,500000,300000,520000.0,172094.93504071137,0.331,0.2655,131000.0,9123.0,0,1.375,2,715000
3,46,1,20,6,1,6,817500,759000,745500,964500,821625.0,100245.01234475459,0.122,0.0771,-42750.0,117375.0,1,0.995,4,804000
0,30,0,21,5,5,25,350000,345000,350000,405000,362500.0,28431.203515386635,0.0784,0.0145,-17000.0,13942.0,0,0.9655,0,350000
1,40,2,31,7,8,56,900000,940000,930000,910000,920000.0,18257.418583505536,0.0198,-0.0426,-2000.0,16140.0,1,0.9783,1,900000
2,24,0,1,3,6,18,360000,455000,475000,450000,435000.0,51153.364177409356,0.1176,-0.2088,-29000.0,22895.0,0,0.8276,0,360000
5,24,2,71,5,9,45,325000,295000,360000,300000,320000.0,29720.924166878343,0.0929,0.1017,1000.0,6957.0,0,1.0156,0,325000
4,20,2,16,7,8,56,600000,715000,670000,540000,631250.0,77068.692303252,0.1221,-0.1608,22500.0,11075.0,0,0.9505,2,600000
5,43,2,46,5,7,35,555000,980000,555000,590000,670000.0,207324.22273659517,0.3094,-0.4337,32000.0,18611.0,0,0.8284,0,555000
1,49,2,16,6,9,54,750000,630000,800000,1190000,842500.0,242401.18261537695,0.2877,0.1905,-149000.0,15318.0,1,0.8902,4,750000
3,40,0,52,2,5,10,286000,399000,465500,534500,421250.0,105784.76575890626,0.2511,-0.2832,-81200.0,38295.0,0,0.6789,0,555000
5,22,2,16,5,6,30,300000,175000,260000,450000,296250.0,114990.94167223202,0.3882,0.7143,-53500.0,9556.0,1,1.0127,4,300000
5,43,0,24,4,3,12,217000,209000,260000,285500,242875.0,36180.968754305075,0.149,0.0383,-25650.0,18683.0,0,0.8935,3,326500
2,21,1,14,5,7,35,675000,620000,470000,570000,583750.0,87118.21470469498,0.1492,0.0887,46500.0,16215.0,1,1.1563,1,675000
1,31,2,20,6,11,66,870000,1050000,1090000,300000,827500.0,364451.64288283844,0.4404,-0.1714,167000.0,12351.0,0,1.0514,3,870000
1,39,2,15,2,10,20,680500,691500,800000,830500,750625.0,75787.39451034497,0.101,-0.0159,-55850.0,35744.0,1,0.9066,4,863500
1,26,0,61,7,9,63,800500,798000,852000,884000,833625.0,41799.87041447218,0.0501,0.0031,-30450.0,13025.0,0,0.9603,3,839500
5,17,2,53,6,8,48,920000,780000,610000,430000,685000.0,212053.45238091896,0.3096,0.1795,164000.0,13980.0,1,1.3431,1,920000
0,21,0,1,6,6,36,155000,0,150000,150000,113750.0,75869.95452746759,0.667,155000.0,-13500.0,3074.0,0,1.3626,0,155000
6,33,2,20,6,6,36,320000,450000,415000,505000,422500.0,77728.15877574013,0.184,-0.2889,-52000.0,11419.0,1,0.7574,1,320000
7,21,1,18,2,5,10,590000,575000,870000,625000,665000.0,138263.03434637425,0.2079,0.0261,-40000.0,60455.0,1,0.8872,4,590000
1,34,0,3,5,8,40,640000,640000,450000,675000,601250.0,102174.27921611843,0.1699,0.0,8500.0,14665.0,0,1.0644,3,640000
2,45,0,71,4,8,32,567000,499000,528000,651500,561375.0,66228.61290006507,0.118,0.1363,-28250.0,17011.0,1,1.01,1,626500
1,32,0,42,6,5,30,795500,712500,714500,912500,783750.0,94139.52411182033,0.1201,0.1165,-35300.0,25282.0,0,1.015,2,920000
1,37,0,13,5,10,50,775500,881000,1015500,1106500,944625.0,145920.28360261183,0.1545,-0.1198,-112750.0,18522.0,0,0.821,2,1080000
3,20,2,11,3,6,18,585000,1293800,480000,685000,760950.0,364960.6508470011,0.4796,-0.5478,51380.0,40050.0,1,0.7688,1,585000
7,21,0,53,2,3,6,100000,60000,0,70000,57500.0,41932.48541803041,0.7292,0.6667,15000.0,8214.0,0,1.7391,3,100000
1,23,2,8,6,9,54,918500,1000500,1153000,1332500,1101125.0,182302.57586404713,0.1656,-0.082,-139450.0,20020.0,0,0.8341,2,1235000
2,28,2,70,3,5,15,530000,425000,480000,525000,490000.0,48819.39505292269,0.0996,0.2471,-4000.0,30625.0,0,1.0816,2,530000
2,51,1,41,4,10,40,370500,517500,637000,726500,562875.0,154201.91038591793,0.274,-0.2841,-118750.0,13729.0,0,0.6582,2,552000
2,52,2,66,3,6,18,396000,557000,643000,832500,607125.0,181812.34602376886,0.2995,-0.289,-139550.0,31954.0,0,0.6523,3,665500
5,47,0,12,6,9,54,481500,490000,530500,658000,540000.0,81519.93621194757,0.151,-0.0173,-57000.0,9818.0,0,0.8917,3,651000
2,24,1,17,4,1,4,495000,347500,331000,511000,421125.0,95005.59194068526,0.2256,0.4245,-3150.0,84225.0,0,1.1754,2,509500
0,17,0,17,4,6,24,0,175000,180000,280000,158750.0,116359.71525116987,0.733,-1.0,-84500.0,6350.0,0,0.0,0,0
7,46,0,45,5,10,50,370000,291500,342500,434500,359625.0,59576.80616929153,0.1657,0.2693,-24450.0,7051.0,1,1.0288,1,457000
6,38,1,29,7,4,28,630000,750000,680000,710000,692500.0,50579.969684978394,0.073,-0.16,-17000.0,23879.0,0,0.9097,2,630000
6,44,2,20,2,4,8,465000,423500,416500,564000,467250.0,67958.93367811671,0.1454,0.098,-29000.0,51917.0,0,0.9952,2,561000
3,31,2,1,5,9,45,790000,875000,825000,775000,816250.0,44417.5265707881,0.0544,-0.0971,9500.0,17745.0,1,0.9678,4,790000
5,34,2,16,6,7,42,430000,325000,225000,275000,313750.0,87595.18632131943,0.2792,0.3231,56500.0,7297.0,1,1.3705,1,430000
5,19,2,21,7,6,42,425000,460000,370000,460000,428750.0,42500.0,0.0991,-0.0761,-1500.0,9971.0,0,0.9913,3,425000
5,17,2,40,6,9,54,284500,353000,406500,359000,350750.0,50233.62087951322,0.1432,-0.1941,-27700.0,6377.0,0,0.8111,2,377500
5,17,0,2,4,6,24,720000,200000,250000,240000,352500.0,245950.53703268603,0.6977,2.6,139000.0,14100.0,1,2.0425,4,720000
1,37,1,41,7,10,70,470000,450000,390000,410000,430000.0,36514.83716701107,0.0849,0.0444,24000.0,6056.0,1,1.093,1,470000
0,19,1,28,5,5,25,350000,360000,405000,330000,361250.0,31721.4438511238,0.0878,-0.0278,1500.0,13894.0,1,0.9689,1,350000
3,28,1,13,4,9,36,500000,525000,490000,490000,501250.0,16520.189667999173,0.033,-0.0476,6500.0,13547.0,0,0.9975,3,500000
5,28,2,12,5,8,40,360000,500000,370000,530000,440000.0,87559.50357709131,0.199,-0.28,-38000.0,10732.0,1,0.8182,4,360000
1,52,1,6,3,8,24,664500,639500,678500,871500,713500.0,106561.40639712547,0.1494,0.0391,-66000.0,28540.0,0,0.9313,2,837500
7,26,1,16,3,4,12,400000,425000,350000,410000,396250.0,32500.0,0.082,-0.0588,4500.0,30481.0,0,1.0095,2,400000
1,31,1,80,6,9,54,875000,700000,730000,825000,782500.0,81496.42118931767,0.1041,0.25,12000.0,14227.0,1,1.1182,1,875000
6,22,0,16,2,10,20,520500,488500,495500,652500,539250.0,76739.27720969664,0.1423,0.0655,-40300.0,25679.0,1,0.9652,4,537000
3,23,2,15,3,8,24,1090000,530000,1350000,1422300,1098075.0,404706.6705240558,0.3686,1.0566,-181690.0,43923.0,1,0.9926,1,1090000
2,30,1,16,6,6,36,190000,250000,250000,230000,230000.0,28284.2712474619,0.123,-0.24,-12000.0,6216.0,0,0.8261,0,190000
0,37,0,35,5,8,40,375000,440500,476500,569500,465375.0,81142.23622750361,0.1744,-0.1487,-61950.0,11351.0,0,0.8058,0,493500
5,17,2,48,7,9,63,550000,500000,580000,525000,538750.0,34247.87098005752,0.0636,0.1,-500.0,8418.0,1,1.0209,4,550000
5,39,2,21,7,7,49,575000,410000,570000,1240000,698750.0,368880.62658083125,0.5279,0.4024,-215500.0,13975.0,1,0.8229,1,575000
6,25,0,9,6,5,30,200000,0,735000,790000,431250.0,391756.1954413314,0.9084,200000.0,-250500.0,13911.0,0,0.4638,2,200000
2,21,0,64,4,6,24,490000,455000,315000,930000,547500.0,265973.05627951614,0.4858,0.0769,-118000.0,21900.0,1,0.895,1,490000
0,25,0,5,5,3,15,450000,225000,275000,425000,343750.0,110632.65039459793,0.3218,1.0,2500.0,21484.0,1,1.3091,1,450000
1,36,1,15,7,9,63,1419600,485000,1389900,1422300,1179200.0,463032.7202261197,0.3927,1.927,-91300.0,18425.0,0,1.2039,0,1419600
3,20,0,43,5,5,25,323000,291000,274500,263500,288000.0,25926.177247459113,0.09,0.11,19500.0,11077.0,0,1.1215,3,275000
1,38,0,28,6,9,54,125000,200000,0,150000,118750.0,85085.74106942557,0.7165,-0.375,12500.0,2159.0,0,1.0526,2,125000
5,37,1,17,5,8,40,280000,290000,285000,345000,300000.0,30276.503540974914,0.1009,-0.0345,-19000.0,7317.0,0,0.9333,0,280000
5,30,0,57,5,9,45,135000,100000,290000,150000,168750.0,83503.99192054632,0.4948,0.35,-23500.0,3668.0,1,0.8,1,135000
3,26,1,17,5,4,20,570000,360000,1340000,775000,761250.0,421394.01593599626,0.5536,0.5833,-159500.0,36250.0,1,0.7488,4,570000
1,32,2,2,7,9,63,680000,410000,805000,550000,611250.0,169822.21095408377,0.2778,0.6585,-500.0,9551.0,0,1.1125,3,680000
5,32,1,14,5,6,30,310000,225000,270000,200000,251250.0,48712.592485584944,0.1939,0.3778,28500.0,8105.0,1,1.2338,1,310000
2,26,0,31,5,6,30,325000,195000,380000,195000,273750.0,93663.84930519707,0.3421,0.6667,20500.0,8831.0,0,1.1872,3,325000
0,21,2,61,7,5,35,279500,297000,367500,360000,326000.0,44277.53380666091,0.1358,-0.0589,-31200.0,9056.0,1,0.8574,1,333000
6,25,0,37,5,7,35,480000,475000,460000,450000,466250.0,13768.926368215254,0.0295,0.0105,10500.0,12951.0,1,1.0295,1,480000
2,23,2,39,6,7,42,625000,975000,550000,715000,716250.0,185219.46441991458,0.2586,-0.359,15500.0,16657.0,1,0.8726,4,625000
5,44,0,3,6,7,42,238000,249000,288500,313500,272250.0,35020.232247468986,0.1286,-0.0442,-26600.0,6331.0,1,0.8742,1,347500
1,22,2,25,3,1,3,759000,763000,942500,1024500,872250.0,132760.74972169547,0.1522,-0.0052,-97600.0,218062.0,0,0.8702,0,972500
5,43,2,62,7,1,7,489000,521000,489000,546000,511250.0,27645.07189355817,0.0541,-0.0614,-13900.0,63906.0,0,0.9565,0,491000
7,24,1,42,3,2,6,325000,820000,825000,400000,592500.0,267348.087705897,0.4512,-0.6037,-23000.0,84643.0,1,0.5485,4,325000
0,23,0,42,6,3,18,175000,395000,100000,440000,277500.0,165554.6234127375,0.5966,-0.557,-50000.0,14605.0,1,0.6306,1,175000
5,25,1,9,4,5,20,500000,605000,605000,450000,540000.0,77781.74593052022,0.144,-0.1736,15000.0,25714.0,0,0.9259,2,500000
3,31,0,36,5,7,35,445000,420000,395000,575000,458750.0,80143.10117949433,0.1747,0.0595,-36500.0,12743.0,1,0.97,4,445000
3,30,0,12,4,7,28,30000,30000,775000,25000,215000.0,373340.7737353815,1.7365,0.0,-73000.0,7414.0,0,0.1395,3,30000
0,25,1,18,4,4,16,175000,170000,170000,175000,172500.0,2886.751345948129,0.0167,0.0294,0.0,10147.0,0,1.0145,0,175000
7,20,1,78,4,5,20,350000,310000,340000,210000,302500.0,63966.136874651624,0.2115,0.129,39000.0,14405.0,1,1.157,1,350000
3,49,1,54,2,2,4,504000,399500,499500,545500,487125.0,61977.65054168048,0.1272,0.2616,-22450.0,97425.0,1,1.0346,1,555500
7,25,2,10,4,7,28,294500,320000,339000,402000,338875.0,45862.79356224753,0.1353,-0.0797,-34150.0,11685.0,1,0.869,4,323500
1,35,0,11,6,8,48,650000,380000,575000,780000,596250.0,167201.22607205965,0.2804,0.7105,-58500.0,12168.0,1,1.0901,4,650000
5,31,0,7,5,6,30,300000,300000,295000,300000,298750.0,2500.0,0.0084,0.0,500.0,9637.0,1,1.0042,1,300000
1,41,0,27,7,6,42,230000,350000,265000,255000,275000.0,52121.652570372964,0.1895,-0.3429,1000.0,6395.0,0,0.8364,2,230000
6,19,0,30,7,1,7,367500,367000,421500,573500,432375.0,97497.32902324384,0.2255,0.0014,-67250.0,54047.0,0,0.85,3,516500
6,22,1,8,6,7,42,750000,250000,450000,225000,418750.0,242706.09798684498,0.5796,2.0,137500.0,9738.0,0,1.791,0,750000
4,31,2,43,7,7,49,900000,880000,730000,900000,852500.0,82209.08303425682,0.0964,0.0227,15000.0,17050.0,1,1.0557,1,900000
1,40,2,14,6,11,66,1080000,1125000,950000,990000,1036250.0,80350.79339994099,0.0775,-0.04,44500.0,15466.0,0,1.0422,2,1080000
7,29,0,54,3,7,21,301500,315500,407500,490000,378625.0,87884.7493406374,0.2321,-0.0444,-65750.0,17210.0,0,0.7963,0,454000
0,22,0,45,5,5,25,260000,275000,275000,350000,290000.0,40620.1920231798,0.1401,-0.0545,-27000.0,11154.0,1,0.8965,1,260000
5,20,0,23,7,4,28,528500,561500,616000,687500,598375.0,69513.0383453349,0.1162,-0.0588,-53150.0,20634.0,0,0.8832,2,592000
5,37,1,21,5,10,50,395000,460000,480000,475000,452500.0,39264.06329796582,0.0868,-0.1413,-26000.0,8873.0,1,0.8729,1,395000
5,31,0,15,3,5,15,200000,160000,185000,0,136250.0,92319.64399122576,0.6776,0.25,57500.0,8516.0,0,1.4679,0,200000
1,38,2,16,7,10,70,450000,970000,550000,300000,567500.0,287329.6596826254,0.5063,-0.5361,87000.0,7993.0,1,0.793,4,450000
7,29,1,27,4,5,20,314500,352500,430500,431000,382125.0,58251.43059759706,0.1524,-0.1078,-42750.0,18196.0,0,0.823,0,393000
6,41,2,52,3,2,6,528000,541000,555500,683000,576875.0,71636.08843778858,0.1242,-0.024,-47950.0,82411.0,0,0.9153,0,631500
2,41,0,14,5,2,10,572000,415000,554000,730000,567750.0,128924.71963643486,0.2271,0.3783,-61300.0,51614.0,0,1.0075,0,576000
7,28,0,8,2,3,6,275000,310000,295000,350000,307500.0,31754.264805429415,0.1033,-0.1129,-21000.0,43929.0,1,0.8943,4,275000
5,23,2,64,3,10,30,234500,220500,210000,281500,236625.0,31555.17654310726,0.1334,0.0635,-13050.0,7633.0,0,0.991,2,294500
1,51,0,27,2,2,4,988500,1092500,974000,1124500,1044875.0,74854.72040336979,0.0716,-0.0952,-28950.0,208975.0,0,0.946,0,995500
3,30,1,60,5,2,10,615500,471000,531000,714500,583000.0,105824.5403171369,0.1815,0.3068,-35700.0,53000.0,1,1.0557,1,601500
0,23,0,20,3,3,9,20000,305000,425000,20000,192500.0,205121.91496766015,1.0656,-0.9344,-12000.0,19250.0,0,0.1039,3,20000
1,34,0,9,6,6,36,640000,380000,725000,710000,613750.0,160175.68479641346,0.261,0.6842,-55500.0,16588.0,0,1.0428,3,640000
2,27,0,33,7,8,56,418500,515500,546000,685000,541250.0,110177.50829154439,0.2036,-0.1882,-83000.0,9496.0,0,0.7732,2,562500
7,39,2,21,5,10,50,294500,383500,432000,463000,393250.0,73514.73775146496,0.1869,-0.2321,-55400.0,7711.0,0,0.7489,0,395000
5,33,0,14,4,5,20,250000,90000,95000,330000,191250.0,118629.32464895291,0.6203,1.7778,-24500.0,9107.0,0,1.3072,2,250000
5,51,1,19,5,7,35,130000,350000,120000,310000,227500.0,119547.75893619531,0.5255,-0.6286,-31000.0,6319.0,0,0.5714,2,130000
4,36,1,45,5,11,55,525000,515000,575000,570000,546250.0,30652.6235962492,0.0561,0.0194,-19500.0,9754.0,0,0.9611,3,525000
3,25,0,45,5,8,40,700000,680000,625000,660000,666250.0,31983.068437325812,0.048,0.0294,17500.0,16250.0,0,1.0507,0,700000
2,23,2,31,5,4,20,425000,380000,340000,420000,391250.0,39660.013447635974,0.1014,0.1184,5500.0,18631.0,1,1.0863,1,425000
7,25,0,69,2,4,8,140000,110000,200000,140000,147500.0,37749.17217635375,0.2559,0.2727,-9000.0,16389.0,0,0.9491,0,140000
6,31,1,32,5,5,25,200000,200000,270000,240000,227500.0,34034.29642777023,0.1496,0.0,-19000.0,8750.0,0,0.8791,2,200000
5,25,2,81,6,7,42,925000,870000,870000,775000,860000.0,62316.396986133055,0.0725,0.0632,45000.0,20000.0,1,1.0756,1,925000
4,27,2,35,6,8,48,865000,210000,525000,330000,482500.0,286138.0785564899,0.593,3.119,129000.0,9847.0,1,1.7927,1,865000
4,30,2,22,6,8,48,525000,525000,625000,600000,568750.0,51538.82032022076,0.0906,0.0,-32500.0,11607.0,1,0.9231,1,525000
2,21,1,24,4,7,28,620000,600000,490000,130000,460000.0,227303.0282830976,0.4941,0.0333,158000.0,15862.0,1,1.3478,1,620000
1,41,1,27,7,7,49,775000,440000,960000,960000,783750.0,245199.7485044931,0.3129,0.7614,-107500.0,15675.0,0,0.9888,3,775000
1,40,0,45,3,5,15,799000,897000,1063000,1211500,992625.0,182111.40134544022,0.1835,-0.1093,-140350.0,62039.0,1,0.8049,4,1181000
4,34,1,22,7,10,70,675000,675000,1389900,575000,828725.0,377074.9295564477,0.455,0.0,-41490.0,11672.0,1,0.8145,4,675000
6,34,0,7,6,4,24,400000,375000,380000,355000,377500.0,18484.22751068236,0.049,0.0667,13000.0,15100.0,0,1.0596,2,400000
1,39,2,22,5,9,45,1100000,495000,1150000,990000,933750.0,300038.1920133946,0.3213,1.2222,-32500.0,20299.0,0,1.178,3,1100000
1,34,1,54,7,10,70,640000,605000,570000,660000,618750.0,39660.013447635974,0.0641,0.0579,-2500.0,8715.0,1,1.0343,4,640000
7,21,0,2,3,5,15,0,225000,260000,275000,190000.0,128387.43448380505,0.6757,-1.0,-86000.0,11875.0,1,0.0,4,0
1,21,0,44,2,4,8,649000,667000,864000,755000,733750.0,98411.97420368451,0.1341,-0.027,-51500.0,81528.0,0,0.8845,0,620500
5,42,0,55,2,5,10,400500,380000,531500,553500,466375.0,88754.69471150996,0.1903,0.0539,-61050.0,42398.0,0,0.8587,3,488000
5,19,2,2,5,7,35,440000,470000,570000,330000,452500.0,98784.27675158295,0.2183,-0.0638,23000.0,12569.0,0,0.9724,3,440000
1,28,2,68,5,10,50,1150000,1293800,740000,545000,932200.0,348834.28730559157,0.3742,-0.1111,236880.0,18278.0,1,1.2336,1,1150000
0,30,1,21,2,1,2,284000,309500,384500,441000,354750.0,71594.3433519716,0.2018,-0.0824,-54600.0,118250.0,1,0.8006,4,415000
5,39,2,43,4,2,8,432500,456000,459000,485500,458250.0,21689.09095989656,0.0473,-0.0515,-16200.0,50917.0,0,0.9438,2,535000
4,24,2,13,6,11,66,230000,620000,160000,495000,376250.0,217308.34467794068,0.5776,-0.629,-33500.0,5616.0,0,0.6113,2,230000
4,35,2,55,7,11,77,820000,625000,1290000,605000,835000.0,318459.8352487589,0.3814,0.312,-2000.0,10705.0,0,0.982,3,820000
6,38,0,48,6,3,18,25000,20000,375000,375000,198750.0,203526.20633880704,1.024,0.25,-140500.0,10461.0,1,0.1258,1,25000
1,34,2,18,6,9,54,420000,1280000,1130000,1290000,1030000.0,413198.9028704376,0.4012,-0.6719,-246000.0,18727.0,1,0.4078,1,420000
1,47,2,14,7,8,56,815000,1293800,905000,1422300,1109025.0,294595.7272263126,0.2656,-0.3701,-143310.0,19457.0,1,0.7349,1,815000
1,42,2,51,5,9,45,970000,1170000,1075000,1060000,1068750.0,81891.696770796,0.0766,-0.1709,-17500.0,23234.0,0,0.9076,0,970000
3,24,1,71,7,4,28,533000,548000,741500,886000,677125.0,168540.98166321448,0.2489,-0.0274,-125250.0,23349.0,0,0.7872,0,655500
1,34,2,7,5,10,50,920000,800000,880000,780000,845000.0,66080.7586719967,0.0782,0.15,34000.0,16569.0,1,1.0888,4,920000
2,21,0,19,3,4,12,548500,552000,771500,920000,698000.0,181063.98500714233,0.2594,-0.0063,-133400.0,53692.0,0,0.7858,3,879000
7,24,1,15,3,5,15,350000,300000,380000,330000,340000.0,33665.01646120693,0.099,0.1667,-2000.0,21250.0,0,1.0294,3,350000
7,18,1,38,3,5,15,310000,310000,405000,225000,312500.0,73541.37157636735,0.2353,0.0,16000.0,19531.0,0,0.992,0,310000
0,25,2,21,4,6,24,219000,213000,270000,385500,271875.0,79950.37523364103,0.2941,0.0282,-55650.0,10875.0,1,0.8055,1,323500
6,22,0,54,4,5,20,400000,333500,330500,501000,391250.0,79890.02858096038,0.2042,0.1994,-30000.0,18631.0,1,1.0224,4,526500
6,34,2,27,6,2,12,430000,409000,462000,489500,447625.0,35415.09800447638,0.0791,0.0513,-23150.0,34433.0,1,0.9606,1,400500
4,33,2,41,6,1,6,635000,573500,646000,769500,656000.0,82116.78675317652,0.1252,0.1072,-47600.0,93714.0,0,0.968,2,797000
4,32,1,21,7,7,49,625000,575000,575000,640000,603750.0,33757.715167548486,0.0559,0.087,-4500.0,12075.0,1,1.0352,1,625000
3,24,0,31,4,4,16,850000,410000,860000,300000,605000.0,292175.74619852804,0.4829,1.0732,120000.0,35588.0,1,1.405,1,850000
3,20,2,17,5,5,25,750000,600000,575000,975000,725000.0,183711.73070873835,0.2534,0.25,-65000.0,27885.0,0,1.0345,2,750000
1,34,2,28,5,11,55,1360000,400000,1360000,655000,943750.0,491788.8266319193,0.5211,2.4,115500.0,16853.0,0,1.4411,2,1360000
1,35,2,3,6,10,60,1020000,1135000,60000,60000,568750.0,589326.9466094351,1.0362,-0.1013,395500.0,9324.0,1,1.7934,1,1020000
2,25,2,28,4,5,20,425000,390000,510000,470000,448750.0,52341.02915814068,0.1166,0.0897,-25500.0,21369.0,0,0.9471,0,425000
6,33,1,16,4,3,12,525000,570000,590000,530000,553750.0,31457.643480294788,0.0568,-0.0789,-3500.0,42596.0,0,0.9481,3,525000
5,33,1,20,6,7,42,360000,355000,325000,425000,366250.0,42106.01698886593,0.115,0.0141,-16500.0,8517.0,1,0.9829,4,360000
5,40,2,34,3,7,21,295000,321000,375500,458000,362375.0,72036.30450451124,0.1988,-0.081,-54350.0,16472.0,1,0.8141,4,295000
2,25,0,31,3,3,9,270000,425000,370000,300000,341250.0,69806.27956471156,0.2046,-0.3647,-3500.0,34125.0,0,0.7912,0,270000
2,27,1,54,6,2,12,370000,347000,354000,352500,355875.0,9885.806323546232,0.0278,0.0663,4550.0,27375.0,0,1.0397,2,389000
4,21,0,6,7,2,14,652000,600500,653000,752500,664500.0,63583.278724310316,0.0957,0.0858,-35400.0,44300.0,0,0.9812,3,782000
2,27,2,7,4,5,20,980000,375000,860000,300000,628750.0,341232.4476560418,0.5427,1.6133,155500.0,29940.0,1,1.5586,1,980000
6,32,0,38,7,4,28,499000,591500,480000,532500,525750.0,48912.3365488367,0.093,-0.1564,1100.0,18129.0,0,0.9491,2,570500
0,25,0,58,2,7,14,354000,363000,311000,403500,357875.0,37948.15542289243,0.106,-0.0248,-9650.0,23858.0,1,0.9892,4,337500
5,30,1,20,5,8,40,450000,450000,410000,380000,422500.0,34034.29642777023,0.0806,0.0,25000.0,10305.0,0,1.0651,0,450000
1,17,1,65,4,5,20,614000,609000,832500,1138000,798375.0,249243.31318345666,0.3122,0.0082,-179550.0,38018.0,0,0.7691,3,975000
4,43,2,30,5,1,5,554000,547000,696000,813500,652625.0,127339.03237682728,0.1951,0.0128,-92750.0,108771.0,0,0.8489,0,897500
