usia,status_income,lama_kerja_bulan,hari_kerja_per_minggu,jam_kerja_per_hari,income_w1,income_w2,income_w3,income_w4,peak_week,app_helpful_score,src_gojek,src_grab,src_instagram___tiktok___youtube,src_maxim,src_projects_co_id,src_shopee___tokopedia___tiktok_shop,src_shopeefood,src_upwork,src_website_freelance_seperti_fiverr,src_whatsapp___kenalan___pelanggan_langsung,ramai_akhir_bulan___tanggal_gajian,ramai_akhir_pekan___sabtu_minggu,ramai_awal_bulan,ramai_harbolnas___flash_sale_online___tanggal_,ramai_ramadan___menjelang_lebaran,ramai_saat_ada_promo_dari_aplikasi,ramai_saat_cuaca_bagus,fluk_ada_atau_tidaknya_promo_dari_aplikasi,fluk_akhir_pekan_atau_hari_libur,fluk_cuaca,fluk_jam_saya_bekerja,fluk_jumlah_pesanan_atau_project_yang_masuk,fluk_kondisi_fisik___capek___sakit,fluk_rating_atau_ulasan_pelanggan,fluk_tanggal_gajian___akhir_bulan,monthly_income,income_volatility,income_cv,income_trend,is_income_growing,total_jam_seminggu,income_per_jam_est,experience_months_log,gig_type_content_creator,gig_type_freelancer_desain,gig_type_freelancer_it,gig_type_jualan_online,gig_type_kurir,gig_type_ojek_online,gig_type_pekerja_harian,gig_type_tutor,domisili_code_bali,domisili_code_bandung,domisili_code_jabodetabek,domisili_code_jawa_barat_lainnya,domisili_code_jawa_tengah,domisili_code_jawa_timur,domisili_code_kalimantan,domisili_code_sulawesi,domisili_code_sumatera,experience_tier_junior,experience_tier_mid,experience_tier_senior
25,2,28,4,5,425000,390000,510000,470000,0,5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1795000,52341.02915814068,0.11663713096603835,45000,1,20,5246.913580246914,3.367295829986474,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
35,2,3,6,10,1020000,1135000,60000,60000,1,5,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2275000,589326.9466094351,1.0361774249354025,-960000,0,60,4232.365145228216,1.3862943611198906,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
28,2,12,5,8,360000,500000,370000,530000,4,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1760000,87559.50357709131,0.19899841949698138,170000,1,40,2236.0248447204967,2.5649493574615367,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
36,2,34,6,7,760000,790000,1130000,1175000,4,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3855000,219065.24903172874,0.22730482150651854,415000,1,42,4497.041420118343,3.5553480614894135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
29,2,18,7,9,505000,510000,25000,500000,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1540000,240034.7197108507,0.623465185053677,-5000,0,63,1996.0474308300395,2.9444389791664403,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
26,1,38,4,7,1320000,1273200,1200000,630000,1,4,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,4423200,321021.12080048566,0.29030641209447783,-690000,0,28,11681.41592920354,3.6635616461296463,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
43,2,31,6,9,890000,560000,1105000,740000,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3295000,230989.71838590564,0.28041206430815335,-150000,0,54,4101.382488479263,3.4657359027997265,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
27,0,8,5,4,225000,200000,170000,210000,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,805000,23228.93310794392,0.11542269657265763,-15000,0,20,2777.777777777778,2.1972245773362196,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
29,1,1,6,7,525000,625000,715000,760000,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,2625000,103953.11443145896,0.15840450442202597,235000,1,42,3106.508875739645,0.6931471805599453,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
38,2,16,7,10,450000,970000,550000,300000,4,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2270000,287329.6596826254,0.5063068781951492,-150000,0,70,1601.423487544484,2.833213344056216,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
18,2,36,3,4,270000,150000,550000,185000,3,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1155000,181308.8984762377,0.6279074305413235,-85000,0,12,5510.2040816326535,3.6109179126442243,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
33,2,14,6,9,700000,395000,475000,940000,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2510000,245102.01957552286,0.3906002055383543,240000,1,54,3225.8064516129034,2.70805020110221,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
26,0,38,4,7,750000,365000,630000,590000,0,4,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2335000,160902.40313100774,0.27563533618102193,-160000,0,28,6637.168141592921,3.6635616461296463,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
43,2,46,5,7,555000,980000,555000,590000,0,5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,2680000,207324.22273659517,0.3094386765640576,35000,1,35,3936.1702127659573,3.8501476017100584,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
22,1,8,6,7,750000,250000,450000,225000,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1675000,242706.09798684498,0.5795952678007813,-525000,0,42,4437.869822485207,2.1972245773362196,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20,2,24,7,6,140000,310000,340000,240000,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1030000,88835.0531415762,0.34498915787346923,100000,1,42,828.4023668639053,3.2188758248682006,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
29,2,29,7,10,330000,250000,225000,660000,3,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1465000,200888.65074961304,0.548499937883072,330000,1,70,1174.3772241992883,3.4011973816621555,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
21,2,21,6,9,440000,480000,450000,475000,1,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1845000,19311.05037709411,0.04186668511741787,35000,1,54,2027.6497695852534,3.091042453358316,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
21,1,18,2,5,590000,575000,870000,625000,4,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2660000,138263.03434637425,0.20791402471030004,35000,1,10,14390.243902439024,2.9444389791664403,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
51,1,19,5,7,130000,350000,120000,310000,2,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,910000,119547.75893619531,0.5254823448520899,180000,1,35,921.9858156028369,2.995732273553991,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
21,1,13,3,6,345000,725000,650000,480000,2,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2200000,170831.30080091686,0.31060180036203,135000,1,18,4726.027397260274,2.639057329615259,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
29,1,46,7,7,510000,900000,375000,1000000,1,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,2785000,300925.6552705336,0.43220857890406417,490000,1,49,2588.832487309645,3.8501476017100584,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
31,2,15,6,11,500000,650000,665000,565000,1,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2380000,77136.24310270757,0.1296405268271945,65000,1,66,1886.7924528301887,2.772588722239781,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
24,0,32,4,7,115000,80000,50000,80000,3,3,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,325000,26575.364531836625,0.32707738405480086,-35000,0,28,1017.6991150442478,3.4965075614664802,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
27,1,6,2,5,230000,16800,300000,200000,4,2,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,746800,120767.9317258242,0.6468520882364004,-30000,0,10,5609.756097560976,1.9459101490553132,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
25,1,24,3,8,270000,275000,250000,280000,4,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1075000,13149.778198382915,0.04892922518756364,10000,1,24,2783.505154639175,3.2188758248682006,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
32,2,65,7,7,1336200,1040000,1350000,1200000,1,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,4926200,144532.38391447088,0.117358017584713,-136200,0,49,6782.741116751269,4.189654742026425,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
37,1,41,7,10,470000,450000,390000,410000,1,5,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1720000,36514.83716701107,0.08491802848600602,-60000,0,70,1672.5978647686832,3.7376696182833684,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
26,1,16,3,4,400000,425000,350000,410000,2,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1585000,32500.0,0.0820187204574878,10000,1,12,8163.265306122449,2.833213344056216,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
25,0,17,4,4,405000,400000,325000,425000,2,4,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1555000,43851.07372307623,0.11279989948084052,20000,1,16,6230.7692307692305,2.8903717578961645,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
23,0,33,6,3,190000,130000,225000,6800,3,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,551800,95830.45792787733,0.6946702664560411,-183200,0,18,2602.7397260273974,3.5263605246161616,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
23,2,39,6,7,625000,975000,550000,715000,4,5,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2865000,185219.46441991458,0.2585957498417658,90000,1,42,3698.224852071006,3.6888794541139363,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
24,2,13,6,11,230000,620000,160000,495000,2,4,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1505000,217308.34467794068,0.577562171736263,265000,1,66,867.9245283018868,2.639057329615259,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
36,0,17,6,3,200000,210000,225000,200000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,835000,11814.53906563152,0.05659632320626737,0,0,18,2739.72602739726,2.8903717578961645,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25,0,14,4,7,325000,325000,270000,315000,1,4,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1235000,26259.918760981218,0.08505209298425338,-10000,0,28,2876.1061946902655,2.70805020110221,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
