gig_type,week_number,income_amount
ojek_online,9,844154.6904761905
ojek_online,10,857836.0119047619
ojek_online,11,859718.5952380953
ojek_online,12,981106.5595238095
ojek_online,13,439613.7619047619
ojek_online,14,451436.4285714286
ojek_online,15,738221.8095238095
ojek_online,16,785118.75
ojek_online,17,745939.1428571428
ojek_online,18,755810.380952381
ojek_online,19,717915.0476190476
ojek_online,20,865795.7619047619
ojek_online,21,745215.7023809524
ojek_online,22,706780.2023809524
ojek_online,23,700820.1666666666
ojek_online,24,761605.5714285715
ojek_online,25,711599.6547619047
ojek_online,26,710965.6428571428
ojek_online,27,679165.0952380953
ojek_online,28,756675.9166666666
ojek_online,29,685641.6785714285
ojek_online,30,753454.1071428572
ojek_online,31,745594.75
ojek_online,32,783268.9523809524
ojek_online,33,688586.380952381
ojek_online,34,723781.5714285715
ojek_online,35,707079.8333333334
ojek_online,36,764825.9404761905
ojek_online,37,678089.6785714285
ojek_online,38,738766.2738095238
ojek_online,39,689873.0476190476
ojek_online,40,769486.5833333334
ojek_online,41,693714.6904761905
ojek_online,42,749381.0833333334
ojek_online,43,701968.7023809524
ojek_online,44,851083.2142857143
ojek_online,45,778197.119047619
ojek_online,46,780562.8095238095
ojek_online,47,783563.4880952381
ojek_online,48,809496.8333333334
ojek_online,49,720980.5714285715
ojek_online,50,856757.5476190476
ojek_online,51,868001.2619047619
ojek_online,52,966188.0833333334
pekerja_harian,1,509962.0
pekerja_harian,2,592369.3333333334
pekerja_harian,3,598712.0
pekerja_harian,4,595901.0
pekerja_harian,5,543278.3333333334
pekerja_harian,6,733052.6666666666
pekerja_harian,7,643094.3333333334
pekerja_harian,8,897984.3333333334
pekerja_harian,9,871367.3333333334
pekerja_harian,10,981762.6666666666
pekerja_harian,11,588357.0
pekerja_harian,12,663348.3333333334
pekerja_harian,13,247906.0
pekerja_harian,14,291071.6666666667
pekerja_harian,15,698687.6666666666
pekerja_harian,16,713669.0
pekerja_harian,17,759082.0
pekerja_harian,18,842595.0
pekerja_harian,19,647141.0
pekerja_harian,20,774899.3333333334
pekerja_harian,21,649540.0
pekerja_harian,22,771626.3333333334
pekerja_harian,23,707163.3333333334
pekerja_harian,24,610625.6666666666
pekerja_harian,25,652086.0
pekerja_harian,26,733332.0
pekerja_harian,27,541750.3333333334
pekerja_harian,28,564934.6666666666
pekerja_harian,29,476476.0
pekerja_harian,30,504881.3333333333
pekerja_harian,31,528160.0
pekerja_harian,32,749052.3333333334
pekerja_harian,33,704157.0
pekerja_harian,34,650611.3333333334
pekerja_harian,35,584725.6666666666
pekerja_harian,36,1007743.3333333334
pekerja_harian,37,739763.6666666666
pekerja_harian,38,597718.6666666666
pekerja_harian,39,724365.0
pekerja_harian,40,643765.0
pekerja_harian,41,518511.3333333333
pekerja_harian,42,485778.6666666667
pekerja_harian,43,555408.6666666666
pekerja_harian,44,737119.0
pekerja_harian,45,638496.6666666666
pekerja_harian,46,559131.0
pekerja_harian,47,787761.6666666666
pekerja_harian,48,768531.0
pekerja_harian,49,648116.6666666666
pekerja_harian,50,694716.0
pekerja_harian,51,800090.3333333334
pekerja_harian,52,921397.3333333334
tutor,1,1336101.2
tutor,2,1295664.8
tutor,3,1130164.0
tutor,4,1148660.8
tutor,5,1225945.0
tutor,6,1123863.2
tutor,7,1069927.4
tutor,8,1146559.4
tutor,9,832915.6
tutor,10,928474.0
tutor,11,909847.2
tutor,12,1170136.0
tutor,13,634462.0
tutor,14,716166.4
tutor,15,1474927.6
tutor,16,1534395.0
tutor,17,1141701.8
tutor,18,1114622.8
tutor,19,1009985.4
tutor,20,1096253.4
tutor,21,1020080.0
tutor,22,1053832.2
tutor,23,1020986.6
tutor,24,1288404.6
tutor,25,1597501.8
tutor,26,1628127.6
tutor,27,1436804.4
tutor,28,1321766.4
tutor,29,1180919.0
tutor,30,1155208.6
tutor,31,1139872.2
tutor,32,1348221.0
tutor,33,1337174.0
tutor,34,1096000.8
tutor,35,1162158.4
tutor,36,1424444.2
tutor,37,987001.2
tutor,38,949964.0
tutor,39,1275696.8
tutor,40,1457843.4
tutor,41,1172823.2
tutor,42,1113995.6
tutor,43,1246012.8
tutor,44,1408149.0
tutor,45,1034933.6
tutor,46,969032.6
tutor,47,1107287.6
tutor,48,1238727.4
tutor,49,1277441.8
tutor,50,1116602.6
tutor,51,1143926.6
tutor,52,897576.0
