usia,sumber_pekerjaan,status_income,lama_kerja_bulan,hari_kerja_per_minggu,jam_kerja_per_hari,income_w1,income_w2,income_w3,income_w4,peak_week,waktu_ramai,faktor_fluktuasi,app_helpful_score,fitur_dibutuhkan,gig_type,domisili_code,src_gojek,src_grab,src_instagram___tiktok___youtube,src_maxim,src_projects_co_id,src_shopee___tokopedia___tiktok_shop,src_shopeefood,src_upwork,src_website_freelance_seperti_fiverr,src_whatsapp___kenalan___pelanggan_langsung,ramai_akhir_bulan___tanggal_gajian,ramai_akhir_pekan___sabtu_minggu,ramai_awal_bulan,ramai_harbolnas___flash_sale_online___tanggal_,ramai_ramadan___menjelang_lebaran,ramai_saat_ada_promo_dari_aplikasi,ramai_saat_cuaca_bagus,fluk_ada_atau_tidaknya_promo_dari_aplikasi,fluk_akhir_pekan_atau_hari_libur,fluk_cuaca,fluk_jam_saya_bekerja,fluk_jumlah_pesanan_atau_project_yang_masuk,fluk_kondisi_fisik___capek___sakit,fluk_rating_atau_ulasan_pelanggan,fluk_tanggal_gajian___akhir_bulan,fitur_pengingat_kalau_penghasilan_sedang_turun,fitur_perkiraan_penghasilan_minggu_depan,fitur_ringkasan_pemasukan_dan_pengeluaran,fitur_saran_batas_pengeluaran_minggu_ini,fitur_saran_menabung
17,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",0,30,4,5,160000,200000,165000,255000,4,"Awal bulan, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",4,"Saran menabung, Pengingat kalau penghasilan sedang turun",jualan_online,jawa_barat_lainnya,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
30,"Instagram / TikTok / YouTube, WhatsApp / kenalan / pelanggan langsung",1,17,4,4,425000,400000,745000,425000,1,Awal bulan,"Jumlah pesanan atau project yang masuk, Rating atau ulasan pelanggan, Jam saya bekerja",4,"Pengingat kalau penghasilan sedang turun, Ringkasan pemasukan dan pengeluaran, Perkiraan penghasilan minggu depan",freelancer_desain,jabodetabek,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0
27,WhatsApp / kenalan / pelanggan langsung,1,4,3,7,260000,275000,10000,15000,2,"Awal bulan, Akhir pekan / Sabtu-Minggu, Ramadan / menjelang Lebaran","Jumlah pesanan atau project yang masuk, Kondisi fisik / capek / sakit, Akhir pekan atau hari libur",5,"Saran batas pengeluaran minggu ini, Pengingat kalau penghasilan sedang turun, Perkiraan penghasilan minggu depan",pekerja_harian,jawa_timur,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0
35,"Website freelance seperti Fiverr, WhatsApp / kenalan / pelanggan langsung",1,55,5,4,825000,780000,400000,580000,0,"Akhir bulan / tanggal gajian, Awal bulan, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Jam saya bekerja, Rating atau ulasan pelanggan",3,"Pengingat kalau penghasilan sedang turun, Ringkasan pemasukan dan pengeluaran",freelancer_it,bandung,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
34,"Gojek, Maxim",0,9,6,6,640000,380000,725000,710000,3,"Ramadan / menjelang Lebaran, Awal bulan","Jumlah pesanan atau project yang masuk, Ada atau tidaknya promo dari aplikasi, Cuaca",5,"Saran batas pengeluaran minggu ini, Perkiraan penghasilan minggu depan",ojek_online,jawa_timur,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
26,WhatsApp / kenalan / pelanggan langsung,0,35,3,4,325000,600000,315000,270000,2,"Akhir bulan / tanggal gajian, Awal bulan","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Jam saya bekerja",1,"Saran menabung, Pengingat kalau penghasilan sedang turun, Saran batas pengeluaran minggu ini",freelancer_it,bali,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1
26,Grab,2,1,7,7,40000,40000,610000,940000,0,"Saat ada promo dari aplikasi, Harbolnas / flash sale online / tanggal kembar","Jumlah pesanan atau project yang masuk, Cuaca",5,"Pengingat kalau penghasilan sedang turun, Saran batas pengeluaran minggu ini, Perkiraan penghasilan minggu depan",kurir,sulawesi,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0
26,Grab,2,26,6,7,560000,600000,885000,490000,4,"Harbolnas / flash sale online / tanggal kembar, Saat ada promo dari aplikasi","Jumlah pesanan atau project yang masuk, Jam saya bekerja",4,"Pengingat kalau penghasilan sedang turun, Saran menabung, Perkiraan penghasilan minggu depan",kurir,jawa_timur,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1
27,"Instagram / TikTok / YouTube, WhatsApp / kenalan / pelanggan langsung, Shopee / Tokopedia / TikTok Shop",0,7,6,5,625000,16800,380000,430000,1,"Harbolnas / flash sale online / tanggal kembar, Saat ada promo dari aplikasi","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",2,"Saran menabung, Saran batas pengeluaran minggu ini, Pengingat kalau penghasilan sedang turun",jualan_online,jawa_timur,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
27,Instagram / TikTok / YouTube,2,26,5,6,105000,225000,200000,200000,2,"Harbolnas / flash sale online / tanggal kembar, Ramadan / menjelang Lebaran, Awal bulan","Jumlah pesanan atau project yang masuk, Ada atau tidaknya promo dari aplikasi, Tanggal gajian / akhir bulan",4,"Pengingat kalau penghasilan sedang turun, Saran batas pengeluaran minggu ini, Perkiraan penghasilan minggu depan",jualan_online,sulawesi,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
22,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",0,45,5,5,260000,275000,275000,350000,1,Harbolnas / flash sale online / tanggal kembar,"Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur, Ada atau tidaknya promo dari aplikasi",3,Ringkasan pemasukan dan pengeluaran,content_creator,jabodetabek,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
23,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",1,33,3,2,275000,275000,250000,215000,1,"Akhir pekan / Sabtu-Minggu, Awal bulan, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Jam saya bekerja",4,"Saran menabung, Ringkasan pemasukan dan pengeluaran",tutor,jabodetabek,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
28,"Upwork, Website freelance seperti Fiverr",1,43,6,8,400000,25000,505000,465000,1,"Akhir bulan / tanggal gajian, Awal bulan, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Jam saya bekerja",2,"Ringkasan pemasukan dan pengeluaran, Saran menabung",freelancer_it,sulawesi,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
28,"Shopee / Tokopedia / TikTok Shop, WhatsApp / kenalan / pelanggan langsung",0,23,4,2,200000,225000,180000,155000,2,"Harbolnas / flash sale online / tanggal kembar, Ramadan / menjelang Lebaran, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Ada atau tidaknya promo dari aplikasi",2,Pengingat kalau penghasilan sedang turun,content_creator,bandung,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
36,"Gojek, Maxim",1,15,7,9,1336200,485000,1350000,1342800,0,"Saat ada promo dari aplikasi, Saat cuaca bagus","Jumlah pesanan atau project yang masuk, Rating atau ulasan pelanggan, Ada atau tidaknya promo dari aplikasi",2,"Saran batas pengeluaran minggu ini, Pengingat kalau penghasilan sedang turun, Saran menabung",ojek_online,sumatera,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1
28,WhatsApp / kenalan / pelanggan langsung,1,3,3,7,375000,200000,290000,175000,1,Akhir pekan / Sabtu-Minggu,"Jumlah pesanan atau project yang masuk, Kondisi fisik / capek / sakit",1,"Saran menabung, Pengingat kalau penghasilan sedang turun, Saran batas pengeluaran minggu ini",pekerja_harian,sulawesi,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1
17,WhatsApp / kenalan / pelanggan langsung,1,41,6,3,475000,495000,450000,430000,2,"Saat ada promo dari aplikasi, Ramadan / menjelang Lebaran, Awal bulan","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan",5,"Saran menabung, Saran batas pengeluaran minggu ini",jualan_online,bandung,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
26,"Website freelance seperti Fiverr, WhatsApp / kenalan / pelanggan langsung",1,13,3,5,775000,730000,620000,35000,3,"Awal bulan, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Rating atau ulasan pelanggan",3,"Pengingat kalau penghasilan sedang turun, Ringkasan pemasukan dan pengeluaran, Saran menabung",freelancer_desain,jabodetabek,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
34,WhatsApp / kenalan / pelanggan langsung,0,3,6,5,370000,400000,320000,275000,2,"Akhir bulan / tanggal gajian, Saat ada promo dari aplikasi, Ramadan / menjelang Lebaran","Jumlah pesanan atau project yang masuk, Ada atau tidaknya promo dari aplikasi, Akhir pekan atau hari libur",3,"Saran batas pengeluaran minggu ini, Pengingat kalau penghasilan sedang turun",jualan_online,jawa_tengah,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0
28,Grab,1,56,7,8,450000,520000,640000,575000,3,Saat cuaca bagus,"Jumlah pesanan atau project yang masuk, Ada atau tidaknya promo dari aplikasi",3,"Saran batas pengeluaran minggu ini, Ringkasan pemasukan dan pengeluaran, Saran menabung",ojek_online,jawa_barat_lainnya,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1
25,Instagram / TikTok / YouTube,0,11,4,3,400000,320000,850000,300000,3,"Awal bulan, Akhir pekan / Sabtu-Minggu, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Kondisi fisik / capek / sakit",3,Saran batas pengeluaran minggu ini,tutor,jabodetabek,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
34,ShopeeFood,2,48,6,9,825000,1273200,1350000,530000,3,Awal bulan,"Jumlah pesanan atau project yang masuk, Ada atau tidaknya promo dari aplikasi",5,Ringkasan pemasukan dan pengeluaran,kurir,sumatera,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
25,"WhatsApp / kenalan / pelanggan langsung, Website freelance seperti Fiverr",0,39,5,6,260000,260000,205000,185000,1,Akhir bulan / tanggal gajian,"Jumlah pesanan atau project yang masuk, Rating atau ulasan pelanggan, Tanggal gajian / akhir bulan",3,"Ringkasan pemasukan dan pengeluaran, Saran menabung, Pengingat kalau penghasilan sedang turun",freelancer_desain,jabodetabek,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1
31,WhatsApp / kenalan / pelanggan langsung,0,20,3,6,240000,100000,280000,130000,3,"Awal bulan, Ramadan / menjelang Lebaran",Jumlah pesanan atau project yang masuk,5,"Saran batas pengeluaran minggu ini, Pengingat kalau penghasilan sedang turun, Perkiraan penghasilan minggu depan",pekerja_harian,jawa_barat_lainnya,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
33,ShopeeFood,2,15,6,8,500000,930000,775000,760000,1,Awal bulan,Jumlah pesanan atau project yang masuk,5,"Saran batas pengeluaran minggu ini, Saran menabung, Perkiraan penghasilan minggu depan",kurir,sumatera,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
24,"Instagram / TikTok / YouTube, WhatsApp / kenalan / pelanggan langsung",0,10,6,4,300000,175000,195000,250000,1,"Awal bulan, Ramadan / menjelang Lebaran, Saat ada promo dari aplikasi","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur, Tanggal gajian / akhir bulan",3,"Ringkasan pemasukan dan pengeluaran, Saran batas pengeluaran minggu ini",jualan_online,sumatera,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0
37,Gojek,2,16,7,7,590000,870000,600000,700000,3,Ramadan / menjelang Lebaran,"Jumlah pesanan atau project yang masuk, Jam saya bekerja",4,"Saran menabung, Saran batas pengeluaran minggu ini, Perkiraan penghasilan minggu depan",ojek_online,bandung,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1
35,Grab,0,11,6,8,650000,380000,575000,780000,4,"Akhir pekan / Sabtu-Minggu, Awal bulan","Jumlah pesanan atau project yang masuk, Jam saya bekerja",3,Pengingat kalau penghasilan sedang turun,ojek_online,jabodetabek,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
25,Projects.co.id,2,28,4,5,425000,390000,510000,470000,0,"Awal bulan, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Jam saya bekerja, Tanggal gajian / akhir bulan",5,"Saran menabung, Saran batas pengeluaran minggu ini, Pengingat kalau penghasilan sedang turun",freelancer_desain,jabodetabek,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1
35,Grab,2,3,6,10,1020000,1135000,60000,60000,1,"Awal bulan, Akhir pekan / Sabtu-Minggu",Jumlah pesanan atau project yang masuk,5,"Saran batas pengeluaran minggu ini, Ringkasan pemasukan dan pengeluaran",ojek_online,jabodetabek,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
28,WhatsApp / kenalan / pelanggan langsung,2,12,5,8,360000,500000,370000,530000,4,"Ramadan / menjelang Lebaran, Akhir pekan / Sabtu-Minggu, Awal bulan",Jumlah pesanan atau project yang masuk,4,Saran batas pengeluaran minggu ini,pekerja_harian,jabodetabek,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
36,Gojek,2,34,6,7,760000,790000,1130000,1175000,4,Awal bulan,Jumlah pesanan atau project yang masuk,3,"Ringkasan pemasukan dan pengeluaran, Saran menabung, Pengingat kalau penghasilan sedang turun",ojek_online,sumatera,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
29,ShopeeFood,2,18,7,9,505000,510000,25000,500000,1,"Saat ada promo dari aplikasi, Harbolnas / flash sale online / tanggal kembar","Jumlah pesanan atau project yang masuk, Ada atau tidaknya promo dari aplikasi, Jam saya bekerja",4,"Saran menabung, Pengingat kalau penghasilan sedang turun",kurir,bali,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
26,"WhatsApp / kenalan / pelanggan langsung, Website freelance seperti Fiverr",1,38,4,7,1320000,1273200,1200000,630000,1,"Akhir bulan / tanggal gajian, Awal bulan","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Jam saya bekerja",4,"Pengingat kalau penghasilan sedang turun, Saran batas pengeluaran minggu ini, Ringkasan pemasukan dan pengeluaran",freelancer_desain,jabodetabek,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0
43,Grab,2,31,6,9,890000,560000,1105000,740000,0,Saat cuaca bagus,"Jumlah pesanan atau project yang masuk, Rating atau ulasan pelanggan",3,"Ringkasan pemasukan dan pengeluaran, Saran menabung, Saran batas pengeluaran minggu ini",ojek_online,jabodetabek,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1
27,WhatsApp / kenalan / pelanggan langsung,0,8,5,4,225000,200000,170000,210000,0,Akhir pekan / Sabtu-Minggu,"Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan",3,"Saran menabung, Pengingat kalau penghasilan sedang turun",tutor,jawa_barat_lainnya,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
29,Instagram / TikTok / YouTube,1,1,6,7,525000,625000,715000,760000,2,"Awal bulan, Harbolnas / flash sale online / tanggal kembar, Saat ada promo dari aplikasi","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Ada atau tidaknya promo dari aplikasi",3,"Saran menabung, Pengingat kalau penghasilan sedang turun, Saran batas pengeluaran minggu ini",jualan_online,jabodetabek,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1
38,Gojek,2,16,7,10,450000,970000,550000,300000,4,Awal bulan,"Jumlah pesanan atau project yang masuk, Jam saya bekerja",3,"Pengingat kalau penghasilan sedang turun, Saran batas pengeluaran minggu ini",ojek_online,bandung,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
18,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",2,36,3,4,270000,150000,550000,185000,3,"Awal bulan, Akhir pekan / Sabtu-Minggu, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan",3,"Pengingat kalau penghasilan sedang turun, Ringkasan pemasukan dan pengeluaran, Saran batas pengeluaran minggu ini",tutor,jawa_barat_lainnya,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0
33,"Gojek, Grab",2,14,6,9,700000,395000,475000,940000,4,"Saat ada promo dari aplikasi, Ramadan / menjelang Lebaran","Jumlah pesanan atau project yang masuk, Rating atau ulasan pelanggan",5,"Pengingat kalau penghasilan sedang turun, Saran menabung, Ringkasan pemasukan dan pengeluaran",ojek_online,jawa_timur,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1
26,"Instagram / TikTok / YouTube, Website freelance seperti Fiverr",0,38,4,7,750000,365000,630000,590000,0,"Awal bulan, Akhir bulan / tanggal gajian, Ramadan / menjelang Lebaran","Jumlah pesanan atau project yang masuk, Rating atau ulasan pelanggan",4,"Saran batas pengeluaran minggu ini, Pengingat kalau penghasilan sedang turun, Ringkasan pemasukan dan pengeluaran",freelancer_desain,bandung,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
43,WhatsApp / kenalan / pelanggan langsung,2,46,5,7,555000,980000,555000,590000,0,"Akhir pekan / Sabtu-Minggu, Awal bulan, Ramadan / menjelang Lebaran","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",5,"Saran menabung, Pengingat kalau penghasilan sedang turun, Perkiraan penghasilan minggu depan",pekerja_harian,bali,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1
