usia,sumber_pekerjaan,status_income,lama_kerja_bulan,hari_kerja_per_minggu,jam_kerja_per_hari,income_w1,income_w2,income_w3,income_w4,peak_week,waktu_ramai,faktor_fluktuasi,app_helpful_score,fitur_dibutuhkan,src_gojek,src_grab,src_instagram___tiktok___youtube,src_maxim,src_projects_co_id,src_shopee___tokopedia___tiktok_shop,src_shopeefood,src_upwork,src_website_freelance_seperti_fiverr,src_whatsapp___kenalan___pelanggan_langsung,ramai_akhir_bulan___tanggal_gajian,ramai_akhir_pekan___sabtu_minggu,ramai_awal_bulan,ramai_harbolnas___flash_sale_online___tanggal_,ramai_ramadan___menjelang_lebaran,ramai_saat_ada_promo_dari_aplikasi,ramai_saat_cuaca_bagus,fluk_ada_atau_tidaknya_promo_dari_aplikasi,fluk_akhir_pekan_atau_hari_libur,fluk_cuaca,fluk_jam_saya_bekerja,fluk_jumlah_pesanan_atau_project_yang_masuk,fluk_kondisi_fisik___capek___sakit,fluk_rating_atau_ulasan_pelanggan,fluk_tanggal_gajian___akhir_bulan,fitur_pengingat_kalau_penghasilan_sedang_turun,fitur_perkiraan_penghasilan_minggu_depan,fitur_ringkasan_pemasukan_dan_pengeluaran,fitur_saran_batas_pengeluaran_minggu_ini,fitur_saran_menabung,monthly_income,income_volatility,income_cv,income_trend,is_income_growing,total_jam_seminggu,kapasitas_jam_bulanan,intensitas_kerja_rel,experience_months_log,exp_score,income_stability,gig_type_content_creator,gig_type_freelancer_desain,gig_type_freelancer_it,gig_type_jualan_online,gig_type_kurir,gig_type_ojek_online,gig_type_pekerja_harian,gig_type_tutor,domisili_code_bali,domisili_code_bandung,domisili_code_jabodetabek,domisili_code_jawa_barat_lainnya,domisili_code_jawa_tengah,domisili_code_jawa_timur,domisili_code_kalimantan,domisili_code_sulawesi,domisili_code_sumatera,experience_tier_junior,experience_tier_mid,experience_tier_senior
33,"Gojek, ShopeeFood",1,10,6,9,500000,640000,575000,630000,4,"Awal bulan, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Cuaca, Ada atau tidaknya promo dari aplikasi",3,"Saran batas pengeluaran minggu ini, Ringkasan pemasukan dan pengeluaran, Saran menabung",1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,2345000,64209.942116985796,0.1095263668923137,130000,1,54,216,0.9818181818181818,2.3978952727983707,2.3978952727983707,stabil,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20,"Projects.co.id, WhatsApp / kenalan / pelanggan langsung",2,17,5,5,750000,600000,575000,975000,2,"Akhir bulan / tanggal gajian, Awal bulan",Jumlah pesanan atau project yang masuk,4,"Saran menabung, Pengingat kalau penghasilan sedang turun, Perkiraan penghasilan minggu depan",0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,2900000,183711.73070873835,0.25339514112220307,225000,1,25,100,0.8771929824561403,2.8903717578961645,3.757483285265014,sedang,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
41,WhatsApp / kenalan / pelanggan langsung,2,21,6,7,1040000,1125000,900000,735000,4,Akhir pekan / Sabtu-Minggu,Jumlah pesanan atau project yang masuk,5,"Ringkasan pemasukan dan pengeluaran, Saran menabung, Perkiraan penghasilan minggu depan",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,3800000,170733.71078963872,0.17971950638961298,-305000,0,42,168,0.7636363636363637,3.091042453358316,4.018355189365811,sedang,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
22,"Instagram / TikTok / YouTube, WhatsApp / kenalan / pelanggan langsung",1,2,5,8,675000,715000,540000,580000,2,"Awal bulan, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Jam saya bekerja, Tanggal gajian / akhir bulan",2,"Saran batas pengeluaran minggu ini, Ringkasan pemasukan dan pengeluaran, Pengingat kalau penghasilan sedang turun",0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,2510000,81291.65598838132,0.12954824930698328,-95000,0,40,160,1.6,1.0986122886681096,1.0986122886681096,stabil,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
17,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",0,30,4,5,160000,200000,165000,255000,4,"Awal bulan, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",4,"Saran menabung, Pengingat kalau penghasilan sedang turun",0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,780000,43779.751788545655,0.22451039629820183,95000,1,20,80,0.6451612903225806,3.4339872044851463,2.403791043139602,sedang,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
30,"Instagram / TikTok / YouTube, WhatsApp / kenalan / pelanggan langsung",1,17,4,4,425000,400000,745000,425000,1,Awal bulan,"Jumlah pesanan atau project yang masuk, Rating atau ulasan pelanggan, Jam saya bekerja",4,"Pengingat kalau penghasilan sedang turun, Ringkasan pemasukan dan pengeluaran, Perkiraan penghasilan minggu depan",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1995000,164589.1349188437,0.3300026163733881,0,0,16,64,0.64,2.8903717578961645,2.8903717578961645,sedang,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
27,WhatsApp / kenalan / pelanggan langsung,1,4,3,7,260000,275000,10000,15000,2,"Awal bulan, Akhir pekan / Sabtu-Minggu, Ramadan / menjelang Lebaran","Jumlah pesanan atau project yang masuk, Kondisi fisik / capek / sakit, Akhir pekan atau hari libur",5,"Saran batas pengeluaran minggu ini, Pengingat kalau penghasilan sedang turun, Perkiraan penghasilan minggu depan",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,560000,147365.75812130395,1.0526050394018895,-245000,0,21,84,0.4883720930232558,1.6094379124341003,1.6094379124341003,volatil,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
35,"Website freelance seperti Fiverr, WhatsApp / kenalan / pelanggan langsung",1,55,5,4,825000,780000,400000,580000,0,"Akhir bulan / tanggal gajian, Awal bulan, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Jam saya bekerja, Rating atau ulasan pelanggan",3,"Pengingat kalau penghasilan sedang turun, Ringkasan pemasukan dan pengeluaran",0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,2585000,195677.24275789797,0.30278830169376597,-245000,0,20,80,0.7017543859649122,4.02535169073515,4.02535169073515,sedang,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
34,"Gojek, Maxim",0,9,6,6,640000,380000,725000,710000,3,"Ramadan / menjelang Lebaran, Awal bulan","Jumlah pesanan atau project yang masuk, Ada atau tidaknya promo dari aplikasi, Cuaca",5,"Saran batas pengeluaran minggu ini, Perkiraan penghasilan minggu depan",1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,2455000,160175.68479641346,0.2609782872800427,70000,1,36,144,0.6545454545454545,2.302585092994046,1.611809565095832,sedang,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
26,WhatsApp / kenalan / pelanggan langsung,0,35,3,4,325000,600000,315000,270000,2,"Akhir bulan / tanggal gajian, Awal bulan","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Jam saya bekerja",1,"Saran menabung, Pengingat kalau penghasilan sedang turun, Saran batas pengeluaran minggu ini",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1510000,150249.7920131672,0.3980116397391456,-55000,0,12,48,0.42105263157894735,3.58351893845611,2.508463256919277,volatil,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
26,Grab,2,1,7,7,40000,40000,610000,940000,0,"Saat ada promo dari aplikasi, Harbolnas / flash sale online / tanggal kembar","Jumlah pesanan atau project yang masuk, Cuaca",5,"Pengingat kalau penghasilan sedang turun, Saran batas pengeluaran minggu ini, Perkiraan penghasilan minggu depan",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1630000,445224.6623896749,1.0925731774637975,900000,1,49,196,0.8909090909090909,0.6931471805599453,0.9010913347279289,volatil,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
26,Grab,2,26,6,7,560000,600000,885000,490000,4,"Harbolnas / flash sale online / tanggal kembar, Saat ada promo dari aplikasi","Jumlah pesanan atau project yang masuk, Jam saya bekerja",4,"Pengingat kalau penghasilan sedang turun, Saran menabung, Perkiraan penghasilan minggu depan",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,2535000,173559.5478983126,0.2738607874359371,-70000,0,42,168,0.7636363636363637,3.295836866004329,4.284587925805628,sedang,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
27,"Instagram / TikTok / YouTube, WhatsApp / kenalan / pelanggan langsung, Shopee / Tokopedia / TikTok Shop",0,7,6,5,625000,16800,380000,430000,1,"Harbolnas / flash sale online / tanggal kembar, Saat ada promo dari aplikasi","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",2,"Saran menabung, Saran batas pengeluaran minggu ini, Pengingat kalau penghasilan sedang turun",0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1451800,253821.74191086678,0.699327848417188,-195000,0,30,120,0.967741935483871,2.0794415416798357,1.455609079175885,volatil,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
27,Instagram / TikTok / YouTube,2,26,5,6,105000,225000,200000,200000,2,"Harbolnas / flash sale online / tanggal kembar, Ramadan / menjelang Lebaran, Awal bulan","Jumlah pesanan atau project yang masuk, Ada atau tidaknya promo dari aplikasi, Tanggal gajian / akhir bulan",4,"Pengingat kalau penghasilan sedang turun, Saran batas pengeluaran minggu ini, Perkiraan penghasilan minggu depan",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,730000,52993.710318615485,0.29037490380115993,95000,1,30,120,0.967741935483871,3.295836866004329,4.284587925805628,sedang,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
22,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",0,45,5,5,260000,275000,275000,350000,1,Harbolnas / flash sale online / tanggal kembar,"Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur, Ada atau tidaknya promo dari aplikasi",3,Ringkasan pemasukan dan pengeluaran,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1160000,40620.1920231798,0.14006914466908665,90000,1,25,100,1.3888888888888888,3.828641396489095,2.6800489775423664,stabil,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
23,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",1,33,3,2,275000,275000,250000,215000,1,"Akhir pekan / Sabtu-Minggu, Awal bulan, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Jam saya bekerja",4,"Saran menabung, Ringkasan pemasukan dan pengeluaran",0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1015000,28394.54172900137,0.11189923085623847,-60000,0,6,24,0.46153846153846156,3.5263605246161616,3.5263605246161616,stabil,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
28,"Upwork, Website freelance seperti Fiverr",1,43,6,8,400000,25000,505000,465000,1,"Akhir bulan / tanggal gajian, Awal bulan, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Jam saya bekerja",2,"Ringkasan pemasukan dan pengeluaran, Saran menabung",0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1395000,220127.80378680018,0.6311890253699636,65000,1,48,192,1.6842105263157894,3.784189633918261,3.784189633918261,volatil,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28,"Shopee / Tokopedia / TikTok Shop, WhatsApp / kenalan / pelanggan langsung",0,23,4,2,200000,225000,180000,155000,2,"Harbolnas / flash sale online / tanggal kembar, Ramadan / menjelang Lebaran, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Ada atau tidaknya promo dari aplikasi",2,Pengingat kalau penghasilan sedang turun,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,760000,29720.924166878343,0.1564250933778156,-45000,0,8,32,0.4444444444444444,3.1780538303479458,2.224637681243562,sedang,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
36,"Gojek, Maxim",1,15,7,9,1336200,485000,1350000,1342800,0,"Saat ada promo dari aplikasi, Saat cuaca bagus","Jumlah pesanan atau project yang masuk, Rating atau ulasan pelanggan, Ada atau tidaknya promo dari aplikasi",2,"Saran batas pengeluaran minggu ini, Pengingat kalau penghasilan sedang turun, Saran menabung",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,4514000,429037.0147201754,0.38018310548256085,6600,1,63,252,1.1454545454545455,2.772588722239781,2.772588722239781,volatil,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
28,WhatsApp / kenalan / pelanggan langsung,1,3,3,7,375000,200000,290000,175000,1,Akhir pekan / Sabtu-Minggu,"Jumlah pesanan atau project yang masuk, Kondisi fisik / capek / sakit",1,"Saran menabung, Pengingat kalau penghasilan sedang turun, Saran batas pengeluaran minggu ini",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1040000,91195.76013536302,0.3507515745530326,-200000,0,21,84,0.4883720930232558,1.3862943611198906,1.3862943611198906,volatil,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
17,WhatsApp / kenalan / pelanggan langsung,1,41,6,3,475000,495000,450000,430000,2,"Saat ada promo dari aplikasi, Ramadan / menjelang Lebaran, Awal bulan","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan",5,"Saran menabung, Saran batas pengeluaran minggu ini",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1850000,28431.203515386635,0.06147273955166937,-45000,0,18,72,0.5806451612903226,3.7376696182833684,3.7376696182833684,stabil,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
26,"Website freelance seperti Fiverr, WhatsApp / kenalan / pelanggan langsung",1,13,3,5,775000,730000,620000,35000,3,"Awal bulan, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Rating atau ulasan pelanggan",3,"Pengingat kalau penghasilan sedang turun, Ringkasan pemasukan dan pengeluaran, Saran menabung",0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,2160000,342904.26263511705,0.6350067178303689,-740000,0,15,60,0.6,2.639057329615259,2.639057329615259,volatil,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
34,WhatsApp / kenalan / pelanggan langsung,0,3,6,5,370000,400000,320000,275000,2,"Akhir bulan / tanggal gajian, Saat ada promo dari aplikasi, Ramadan / menjelang Lebaran","Jumlah pesanan atau project yang masuk, Ada atau tidaknya promo dari aplikasi, Akhir pekan atau hari libur",3,"Saran batas pengeluaran minggu ini, Pengingat kalau penghasilan sedang turun",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1365000,55132.41635674363,0.1615597210169161,-95000,0,30,120,0.967741935483871,1.3862943611198906,0.9704060527839233,sedang,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
28,Grab,1,56,7,8,450000,520000,640000,575000,3,Saat cuaca bagus,"Jumlah pesanan atau project yang masuk, Ada atau tidaknya promo dari aplikasi",3,"Saran batas pengeluaran minggu ini, Ringkasan pemasukan dan pengeluaran, Saran menabung",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,2185000,80764.57556792251,0.14785249925020277,125000,1,56,224,1.018181818181818,4.04305126783455,4.04305126783455,stabil,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25,Instagram / TikTok / YouTube,0,11,4,3,400000,320000,850000,300000,3,"Awal bulan, Akhir pekan / Sabtu-Minggu, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Kondisi fisik / capek / sakit",3,Saran batas pengeluaran minggu ini,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1870000,258634.2333618399,0.5532271232828163,-100000,0,12,48,0.9230769230769231,2.4849066497880004,1.7394346548516002,volatil,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
34,ShopeeFood,2,48,6,9,825000,1273200,1350000,530000,3,Awal bulan,"Jumlah pesanan atau project yang masuk, Ada atau tidaknya promo dari aplikasi",5,Ringkasan pemasukan dan pengeluaran,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3978200,386671.44968306104,0.3887899662089335,-295000,0,54,216,0.9818181818181818,3.8918202981106265,5.059366387543815,volatil,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
25,"WhatsApp / kenalan / pelanggan langsung, Website freelance seperti Fiverr",0,39,5,6,260000,260000,205000,185000,1,Akhir bulan / tanggal gajian,"Jumlah pesanan atau project yang masuk, Rating atau ulasan pelanggan, Tanggal gajian / akhir bulan",3,"Ringkasan pemasukan dan pengeluaran, Saran menabung, Pengingat kalau penghasilan sedang turun",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,910000,38405.72873934304,0.16881564801624185,-75000,0,30,120,1.2,3.6888794541139363,2.582215617879755,sedang,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
31,WhatsApp / kenalan / pelanggan langsung,0,20,3,6,240000,100000,280000,130000,3,"Awal bulan, Ramadan / menjelang Lebaran",Jumlah pesanan atau project yang masuk,5,"Saran batas pengeluaran minggu ini, Pengingat kalau penghasilan sedang turun, Perkiraan penghasilan minggu depan",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,750000,86168.43969807043,0.45956256072271845,-110000,0,18,72,0.4186046511627907,3.044522437723423,2.131165706406396,volatil,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
