Timestamp,"Apakah Anda bersedia mengisi survei ini?

Cuman sedikit kok pertanyaanya!","Berapa usia Anda? (tulis angka, contoh: 22)",Domisili Anda saat ini,"Pekerjaan utama Anda saat ini? 

Kalau punya lebih dari satu, pilih yang PALING UTAMA.",Biasanya Anda mendapatkan pekerjaan/pesanan dari mana? Pilih yang sesuai.,"Apakah pekerjaan ini menjadi sumber penghasilan utama Anda?

0 — Tidak, hanya tambahan 
1 — Kadang utama, kadang tambahan
2 — Ya, penghasilan utama"," Sudah berapa lama Anda menjalankan pekerjaan ini? (tulis dalam bulan, contoh: 8)",Berapa hari dalam seminggu ada bekerja?,"Berapa jam Anda bekerja dalam sehari? (tulis angka, contoh: 6)","Berapa penghasilan Anda minggu lalu? (tulis dalam Rupiah, contoh: 350000. Tulis 0 jika tidak ada)","Berapa penghasilan Anda dua minggu lalu?  (tulis dalam Rupiah, contoh: 350000. Tulis 0 jika tidak ada)","Berapa penghasilan Anda tiga minggu lalu?  (tulis dalam Rupiah, contoh: 350000. Tulis 0 jika tidak ada)","Berapa penghasilan Anda empat minggu lalu?  (tulis dalam Rupiah, contoh: 350000. Tulis 0 jika tidak ada)","Dalam sebulan, di minggu mana penghasilan Anda biasanya paling tinggi?

1 — Minggu pertama 
2 — Minggu kedua 
3 — Minggu ketiga 
4 — Minggu keempat 
0 — Tidak ada pola, tiap bulan beda",Kapan biasanya penghasilan Anda lebih ramai? (pilih semua yang sesuai), Apa yang paling sering membuat penghasilan Anda naik atau turun? (pilih maksimal 3),"Kalau ada aplikasi yang bisa memperkirakan penghasilan Anda beberapa minggu ke depan, apakah itu membantu?","Fitur apa yang paling Anda butuhkan?

Pilih maksimal 3.","Ada cerita atau masukan tentang penghasilan tidak tetap yang mau Anda bagikan?

Boleh dikosongkan — tapi jawaban Anda sangat berarti untuk kami 🙏", Kontak Hadiah GoPay  
5/11/2026 20:58:44,Ya,27,Bandung,Jualan online / reseller / toko online,"Instagram / TikTok / YouTube, WhatsApp / kenalan / pelanggan langsung",1,56,5,3,460000,500000,440000,50000,0,"Ramadan / menjelang Lebaran, Awal bulan, Harbolnas / tanggal kembar (11.11, 12.12)","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",5,"Saran batas pengeluaran minggu ini, Tips mengatur uang buat pekerja seperti saya, Pengingat kalau penghasilan sedang turun",,
5/11/2026 14:12:07,Ya,21,Bandung,Freelance desain / editing / ilustrasi,Instagram / TikTok / YouTube,1,7,2,3,110000,115000,220000,275000,0,"Awal bulan, Akhir bulan / tanggal gajian, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Rating atau ulasan pelanggan, Jam saya bekerja",4,Saran menabung,butuh fitur yang bisa ingetin kalau udah boros,
5/11/2026 17:01:11,Ya,23,Sulawesi,Freelance desain / editing / ilustrasi,"Website freelance seperti Fiverr, Upwork, Projects.co.id",0,27,4,7,70000,20000,65000,130000,1,Akhir bulan / tanggal gajian,"Jumlah pesanan atau project yang masuk, Rating atau ulasan pelanggan",4,Saran batas pengeluaran minggu ini,,
5/11/2026 13:38:33,Ya,28,Bandung,Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,16,6,9,440000,515000,330000,580000,1,"Akhir pekan / Sabtu-Minggu, Akhir bulan / tanggal gajian, Awal bulan","Jumlah pesanan atau project yang masuk, Jam saya bekerja, Kondisi fisik / capek / sakit",5,Saran menabung,Pengen bisa prediksi income biar bisa rencanain pengeluaran.,
5/11/2026 21:46:03,Ya,21,Bandung,Freelance desain / editing / ilustrasi,"WhatsApp / kenalan / pelanggan langsung, Website freelance seperti Fiverr, Upwork, Projects.co.id",1,16,2,3,125000,120000,110000,100000,4,Awal bulan,"Jumlah pesanan atau project yang masuk, Rating atau ulasan pelanggan, Jam saya bekerja",4,"Saran menabung, Saran batas pengeluaran minggu ini, Tips mengatur uang buat pekerja seperti saya",susah menabung karena ga tau kapan dapat banyak,
5/11/2026 19:13:24,Ya,22,Lainnya,Content creator / admin media sosial,WhatsApp / kenalan / pelanggan langsung,0,36,3,6,75000,145000,135000,140000,4,"Harbolnas / tanggal kembar (11.11, 12.12)","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Akhir pekan atau hari libur",3,Saran menabung,Pengen bisa prediksi income biar bisa rencanain pengeluaran.,
5/11/2026 22:49:08,Ya,21,Surabaya,Jualan online / reseller / toko online,"Shopee / Tokopedia / Lazada / marketplace, WhatsApp / kenalan / pelanggan langsung",2,14,5,6,30000,735000,495000,645000,1,"Ramadan / menjelang Lebaran, Harbolnas / tanggal kembar (11.11, 12.12)","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Akhir pekan atau hari libur",4,Perkiraan penghasilan minggu depan,,
5/11/2026 15:25:33,Ya,25,Sumatera,Content creator / admin media sosial,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",0,6,2,5,190000,215000,85000,40000,0,"Akhir pekan / Sabtu-Minggu, Ramadan / menjelang Lebaran, Harbolnas / tanggal kembar (11.11, 12.12)","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",3,"Perkiraan penghasilan minggu depan, Saran batas pengeluaran minggu ini, Pengingat kalau penghasilan sedang turun",susah menabung karena ga tau kapan dapat banyak,
5/11/2026 21:40:20,Ya,27,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Kurir / pengantar barang atau makanan,"Aplikasi ojek/delivery (Gojek, Grab, Shopee Food, dll)",2,70,5,8,510000,305000,375000,515000,0,"Harbolnas / tanggal kembar (11.11, 12.12), Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Jam saya bekerja",5,"Saran menabung, Tips mengatur uang buat pekerja seperti saya, Pengingat kalau penghasilan sedang turun","pernah seminggu cuma dapat 250rb, padahal kerja tiap hari",
5/11/2026 09:41:11,Ya,22,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,17,6,8,90000,355000,530000,115000,2,"Akhir bulan / tanggal gajian, Akhir pekan / Sabtu-Minggu, Awal bulan","Jumlah pesanan atau project yang masuk, Jam saya bekerja",4,Saran menabung,,
5/11/2026 17:41:50,Ya,30,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Jualan online / reseller / toko online,"Instagram / TikTok / YouTube, WhatsApp / kenalan / pelanggan langsung",2,39,5,5,735000,660000,270000,425000,2,"Saat ada promo dari aplikasi, Akhir bulan / tanggal gajian, Ramadan / menjelang Lebaran","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan",5,"Saran menabung, Saran batas pengeluaran minggu ini",sering kali gak bisa bedain mana kebutuhan mana keinginan karena income ga pasti,
5/11/2026 14:43:46,Ya,25,Bandung,Freelance IT / website / programming / data,WhatsApp / kenalan / pelanggan langsung,0,24,6,4,595000,460000,1020000,495000,2,Awal bulan,"Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Jam saya bekerja",2,Saran menabung,"Kalau lagi sakit langsung ga ada pemasukan, khawatir.",
5/12/2026 19:17:28,Ya,34,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,1,12,7,9,805000,770000,640000,505000,0,Akhir pekan / Sabtu-Minggu,"Jumlah pesanan atau project yang masuk, Jam saya bekerja",4,"Saran batas pengeluaran minggu ini, Ringkasan pemasukan dan pengeluaran",Susah ngatur pengeluaran kalau pendapatan ga menentu.,
5/12/2026 10:18:15,Ya,28,Kalimantan,Jualan online / reseller / toko online,"Shopee / Tokopedia / Lazada / marketplace, WhatsApp / kenalan / pelanggan langsung",1,16,3,4,300000,290000,185000,70000,3,Awal bulan,"Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Promo dari platform / aplikasi",4,"Ringkasan pemasukan dan pengeluaran, Perkiraan penghasilan minggu depan",Pengen bisa prediksi income biar bisa rencanain pengeluaran.,
5/12/2026 19:40:06,Ya,26,Bandung,Jualan online / reseller / toko online,WhatsApp / kenalan / pelanggan langsung,0,16,6,7,45000,215000,275000,215000,2,"Harbolnas / tanggal kembar (11.11, 12.12), Saat ada promo dari aplikasi","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur, Promo dari platform / aplikasi",5,"Perkiraan penghasilan minggu depan, Saran batas pengeluaran minggu ini",,
5/12/2026 10:22:55,Ya,21,Sumatera,Content creator / admin media sosial,"Instagram / TikTok / YouTube, WhatsApp / kenalan / pelanggan langsung",0,35,3,4,140000,200000,240000,115000,1,"Harbolnas / tanggal kembar (11.11, 12.12)","Jumlah pesanan atau project yang masuk, Promo dari platform / aplikasi",3,"Saran menabung, Saran batas pengeluaran minggu ini",,
5/12/2026 13:02:46,Ya,26,Sumatera,Freelance desain / editing / ilustrasi,"Website freelance seperti Fiverr, Upwork, Projects.co.id",1,70,3,5,305000,270000,390000,430000,0,"Awal bulan, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan",2,"Saran batas pengeluaran minggu ini, Tips mengatur uang buat pekerja seperti saya",susah menabung karena ga tau kapan dapat banyak,
5/12/2026 16:24:58,Ya,24,Kalimantan,Content creator / admin media sosial,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",0,16,3,2,90000,125000,65000,0,3,"Harbolnas / tanggal kembar (11.11, 12.12), Akhir pekan / Sabtu-Minggu, Ramadan / menjelang Lebaran","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur, Tanggal gajian / akhir bulan",4,"Perkiraan penghasilan minggu depan, Pengingat kalau penghasilan sedang turun",Susah ngatur pengeluaran kalau pendapatan ga menentu.,
5/12/2026 15:35:08,Ya,33,Semarang,Kurir / pengantar barang atau makanan,"WhatsApp / kenalan / pelanggan langsung, Aplikasi ojek/delivery (Gojek, Grab, Shopee Food, dll)",2,11,6,8,895000,375000,590000,120000,1,"Saat ada promo dari aplikasi, Harbolnas / tanggal kembar (11.11, 12.12), Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Promo dari platform / aplikasi",3,Saran menabung,pengen tau minggu ini bakal dapat berapa biar bisa atur pengeluaran,
5/12/2026 12:40:35,Ya,20,Yogyakarta,Freelance desain / editing / ilustrasi,WhatsApp / kenalan / pelanggan langsung,0,12,4,6,80000,325000,335000,395000,0,"Akhir pekan / Sabtu-Minggu, Awal bulan","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan",2,"Saran menabung, Ringkasan pemasukan dan pengeluaran","kadang weekend ramai banget, weekday sepi",
5/12/2026 16:13:21,Ya,25,Bandung,Freelance IT / website / programming / data,"Website freelance seperti Fiverr, Upwork, Projects.co.id, WhatsApp / kenalan / pelanggan langsung",2,44,4,6,420000,815000,900000,10000,1,Akhir bulan / tanggal gajian,"Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Rating atau ulasan pelanggan",5,"Tips mengatur uang buat pekerja seperti saya, Pengingat kalau penghasilan sedang turun","Kalau lagi sakit langsung ga ada pemasukan, khawatir.",
5/12/2026 22:13:37,Ya,43,Semarang,Ojek online / driver aplikasi,"Aplikasi ojek/delivery (Gojek, Grab, Shopee Food, dll)",2,13,6,9,850000,395000,405000,180000,1,Saat ada promo dari aplikasi,"Jumlah pesanan atau project yang masuk, Promo dari platform / aplikasi, Cuaca",4,"Saran menabung, Perkiraan penghasilan minggu depan","kalau akhir bulan biasa ramai, tapi ga selalu",
5/12/2026 16:02:02,Ya,26,Bandung,Freelance desain / editing / ilustrasi,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",0,18,4,6,210000,280000,195000,240000,1,"Akhir bulan / tanggal gajian, Akhir pekan / Sabtu-Minggu, Awal bulan","Jumlah pesanan atau project yang masuk, Rating atau ulasan pelanggan",4,"Perkiraan penghasilan minggu depan, Saran batas pengeluaran minggu ini",sering kali gak bisa bedain mana kebutuhan mana keinginan karena income ga pasti,
5/12/2026 22:50:49,Ya,20,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Content creator / admin media sosial,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",2,18,4,4,180000,235000,330000,320000,4,Ramadan / menjelang Lebaran,"Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Promo dari platform / aplikasi",4,"Saran menabung, Saran batas pengeluaran minggu ini, Tips mengatur uang buat pekerja seperti saya",,
5/12/2026 16:43:49,Ya,21,Semarang,Freelance desain / editing / ilustrasi,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",1,4,4,4,570000,590000,475000,300000,0,"Awal bulan, Akhir bulan / tanggal gajian, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan",3,"Saran menabung, Perkiraan penghasilan minggu depan","Kalau lagi sakit langsung ga ada pemasukan, khawatir.",
5/13/2026 11:52:34,Ya,21,Bali / NTB / NTT,Content creator / admin media sosial,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",0,47,3,5,110000,155000,80000,130000,4,Akhir pekan / Sabtu-Minggu,"Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur, Tanggal gajian / akhir bulan",5,"Saran menabung, Ringkasan pemasukan dan pengeluaran","pernah seminggu cuma dapat 150rb, padahal kerja tiap hari",
5/13/2026 21:11:59,Ya,22,Bandung,Freelance desain / editing / ilustrasi,Instagram / TikTok / YouTube,0,33,3,7,300000,150000,175000,250000,2,"Akhir bulan / tanggal gajian, Akhir pekan / Sabtu-Minggu, Awal bulan","Jumlah pesanan atau project yang masuk, Jam saya bekerja, Tanggal gajian / akhir bulan",5,Saran batas pengeluaran minggu ini,"Kadang sepi banget, bisa seminggu cuma dapat 100ribu.",
5/13/2026 20:32:20,Ya,41,Sulawesi,Kurir / pengantar barang atau makanan,WhatsApp / kenalan / pelanggan langsung,2,74,7,8,355000,430000,565000,760000,2,"Harbolnas / tanggal kembar (11.11, 12.12), Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Cuaca, Promo dari platform / aplikasi",5,Saran menabung,"Bulan kemarin lumayan, tapi bulan ini sepi banget.",
5/13/2026 13:14:14,Ya,38,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Jualan online / reseller / toko online,Shopee / Tokopedia / Lazada / marketplace,1,30,7,6,500000,845000,530000,325000,3,"Harbolnas / tanggal kembar (11.11, 12.12), Ramadan / menjelang Lebaran, Akhir bulan / tanggal gajian","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",5,"Saran menabung, Saran batas pengeluaran minggu ini, Tips mengatur uang buat pekerja seperti saya",,
5/13/2026 18:45:37,Ya,35,Lainnya,Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,17,6,9,720000,755000,800000,710000,4,"Akhir bulan / tanggal gajian, Awal bulan, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Kondisi fisik / capek / sakit",5,Saran batas pengeluaran minggu ini,"kadang weekend ramai banget, weekday sepi",
5/13/2026 22:23:57,Ya,27,Surabaya,Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,77,7,8,525000,615000,40000,275000,4,"Awal bulan, Akhir pekan / Sabtu-Minggu","Jumlah pesanan atau project yang masuk, Kondisi fisik / capek / sakit",4,"Saran menabung, Tips mengatur uang buat pekerja seperti saya",,
5/13/2026 11:06:38,Ya,28,Jawa Barat lainnya,Jualan online / reseller / toko online,"WhatsApp / kenalan / pelanggan langsung, Instagram / TikTok / YouTube",1,73,5,7,190000,280000,475000,400000,0,"Ramadan / menjelang Lebaran, Akhir bulan / tanggal gajian, Harbolnas / tanggal kembar (11.11, 12.12)","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur, Promo dari platform / aplikasi",5,"Saran menabung, Ringkasan pemasukan dan pengeluaran, Tips mengatur uang buat pekerja seperti saya",sering kali gak bisa bedain mana kebutuhan mana keinginan karena income ga pasti,
5/13/2026 08:22:41,Ya,45,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,47,7,7,500000,680000,335000,385000,1,Awal bulan,"Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",4,"Saran menabung, Ringkasan pemasukan dan pengeluaran","Kalau lagi sakit langsung ga ada pemasukan, khawatir.",
5/13/2026 13:38:38,Ya,29,Yogyakarta,Jualan online / reseller / toko online,"WhatsApp / kenalan / pelanggan langsung, Shopee / Tokopedia / Lazada / marketplace",1,35,6,6,440000,475000,420000,495000,2,"Akhir bulan / tanggal gajian, Awal bulan","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",5,"Saran batas pengeluaran minggu ini, Ringkasan pemasukan dan pengeluaran",,
5/13/2026 09:46:30,Ya,30,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,21,6,9,370000,420000,370000,665000,1,"Akhir bulan / tanggal gajian, Akhir pekan / Sabtu-Minggu, Awal bulan","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",3,"Perkiraan penghasilan minggu depan, Saran batas pengeluaran minggu ini","kadang weekend ramai banget, weekday sepi",
5/13/2026 20:04:52,Ya,22,Sumatera,Freelance desain / editing / ilustrasi,Instagram / TikTok / YouTube,1,9,4,6,30000,220000,160000,145000,1,"Akhir pekan / Sabtu-Minggu, Akhir bulan / tanggal gajian, Awal bulan","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan, Jam saya bekerja",5,"Saran batas pengeluaran minggu ini, Ringkasan pemasukan dan pengeluaran",butuh fitur yang bisa ingetin kalau udah boros,
5/13/2026 11:39:33,Ya,35,Yogyakarta,Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,38,5,9,65000,390000,525000,440000,0,Akhir pekan / Sabtu-Minggu,"Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur, Jam saya bekerja",5,"Saran menabung, Perkiraan penghasilan minggu depan, Pengingat kalau penghasilan sedang turun",Susah ngatur pengeluaran kalau pendapatan ga menentu.,
5/14/2026 11:55:44,Ya,30,"Jabodetabek (Jakarta, Bogor, Depok, Tangerang, Bekasi)",Ojek online / driver aplikasi,"Aplikasi ojek/delivery (Gojek, Grab, Shopee Food, dll)",2,15,4,9,340000,365000,260000,55000,1,Akhir pekan / Sabtu-Minggu,"Jumlah pesanan atau project yang masuk, Cuaca",4,"Saran menabung, Saran batas pengeluaran minggu ini","kadang weekend ramai banget, weekday sepi",
5/14/2026 19:32:47,Ya,28,Kalimantan,Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,4,7,9,170000,525000,710000,795000,4,Akhir bulan / tanggal gajian,"Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",4,"Saran menabung, Perkiraan penghasilan minggu depan, Pengingat kalau penghasilan sedang turun",,
5/14/2026 10:24:20,Ya,40,Lainnya,Pekerja harian / event / part-time,WhatsApp / kenalan / pelanggan langsung,2,16,5,7,620000,430000,245000,735000,0,"Akhir pekan / Sabtu-Minggu, Awal bulan","Jumlah pesanan atau project yang masuk, Akhir pekan atau hari libur",3,Ringkasan pemasukan dan pengeluaran,,
5/14/2026 12:19:30,Ya,25,Jawa Barat lainnya,Tutor / guru les / pengajar lepas,"WhatsApp / kenalan / pelanggan langsung, Ruangguru / Superprof / platform les online",0,12,3,4,90000,95000,55000,105000,1,"Akhir pekan / Sabtu-Minggu, Awal bulan","Jumlah pesanan atau project yang masuk, Tanggal gajian / akhir bulan",4,Perkiraan penghasilan minggu depan,"Waktu akhir bulan lumayan ramai, tapi habis itu sepi lagi.",
