
City,Hours_per_Day,Days_per_Month,Platform,Orders_Per_Day,PeakTime,Monthly_Salary (₹)
Jaipur,6,20,Grab,26,No,18750.0
Dubai,9,23,Zomato,27,No,87328.12
Kolkata,8,29,Talabat,25,Yes,39875.0
Jaipur,11,23,Zepto,23,No,34969.95
Jaipur,8,24,Swiggy,13,Yes,16500.0
Singapore,6,23,DoorDash,29,Yes,100531.01
Indore,12,25,Deliveroo,19,No,32884.62
Singapore,11,24,Dunzo,19,No,114548.08
Chennai,6,27,Blinkit,21,No,22898.08
Hyderabad,6,22,Talabat,18,Yes,18848.08
Pune,8,20,Talabat,17,Yes,22296.15
Ahmedabad,7,23,Grab,21,No,21943.99
Kochi,9,27,Dunzo,25,No,32127.4
Kolkata,12,27,DoorDash,24,No,48600.0
Jaipur,9,30,Blinkit,10,No,16225.96
Pune,9,24,Deliveroo,15,Yes,26558.65
Dubai,7,23,Grab,26,Yes,71946.88
Jaipur,9,27,Blinkit,14,Yes,22489.18
Bengaluru,11,29,Dunzo,15,No,41408.65
Pune,6,20,DoorDash,11,Yes,10820.19
Indore,11,24,DoorDash,19,Yes,31832.31
Lucknow,9,29,Talabat,21,No,30303.61
Chennai,12,20,Deliveroo,23,No,37153.85
Dubai,10,28,Deliveroo,10,Yes,48125.0
Bengaluru,8,30,Talabat,15,Yes,34269.23
Ahmedabad,6,30,Swiggy,17,No,19860.58
Delhi NCR,6,20,Dunzo,28,Yes,30207.69
Ahmedabad,8,27,Swiggy,25,No,35048.08
Singapore,10,27,Zepto,10,No,61658.65
Chennai,10,21,Swiggy,23,No,32509.62
Lucknow,12,30,Zepto,19,No,37817.31
Ahmedabad,7,28,Talabat,15,Yes,20989.9
Indore,6,27,Deliveroo,15,No,14019.23
Singapore,8,28,Dunzo,29,Yes,163180.77
Hyderabad,7,24,Blinkit,30,Yes,39980.77
Bengaluru,6,21,Talabat,21,No,22898.08
Kochi,10,29,Dunzo,20,Yes,33740.38
Kochi,8,29,Deliveroo,19,Yes,25642.69
Singapore,9,23,Talabat,22,No,103997.6
London,10,24,Talabat,30,Yes,304615.38
Chennai,12,27,Blinkit,12,No,26169.23
Delhi NCR,9,22,Deliveroo,19,No,30747.12
Singapore,10,30,Swiggy,13,No,89062.5
Mumbai,6,22,Dunzo,10,Yes,12216.35
London,10,21,Zomato,12,No,96923.08
Singapore,12,25,Talabat,24,Yes,180865.38
Jaipur,12,20,Dunzo,18,No,25961.54
Dubai,9,26,Zomato,27,No,98718.75
Mumbai,7,30,Grab,14,No,24735.58
Kolkata,9,22,Zomato,24,Yes,32670.0
Ahmedabad,6,20,Deliveroo,13,Yes,11137.5
New York,8,21,DoorDash,15,No,145384.62
London,6,28,Talabat,15,No,96923.08
Kolkata,10,20,Zepto,23,Yes,31625.0
London,7,24,Swiggy,14,Yes,99507.69
Dubai,9,20,Dunzo,14,No,39375.0
Bengaluru,9,24,DoorDash,17,No,31776.92
Chennai,7,21,Zepto,28,No,27703.85
Delhi NCR,12,23,Deliveroo,13,No,29325.0
Chennai,12,24,Zomato,14,Yes,29852.31
Bengaluru,12,20,Grab,10,Yes,22846.15
Jaipur,10,22,Swiggy,25,No,33052.88
Bengaluru,12,27,Grab,10,Yes,30842.31
Indore,7,29,Zomato,29,No,33963.46
Mumbai,6,26,Grab,26,Yes,37537.5
Hyderabad,12,27,Talabat,25,Yes,64254.81
Mumbai,6,25,Grab,14,No,17668.27
Pune,10,27,Zomato,26,No,52312.5
Ahmedabad,7,27,Zomato,10,No,12266.83
Hyderabad,11,20,Zepto,24,No,38076.92
Mumbai,7,30,Swiggy,16,Yes,31096.15
Jaipur,6,29,Grab,27,Yes,31056.49
Ahmedabad,8,29,Swiggy,21,No,31621.15
Hyderabad,11,27,Grab,26,No,55687.5
Jaipur,12,28,Zomato,12,No,24230.77
Mumbai,12,24,Deliveroo,21,Yes,55973.08
Indore,10,29,Dunzo,20,No,33461.54
Lucknow,11,20,Grab,12,Yes,16055.77
Hyderabad,12,22,Talabat,20,Yes,41884.62
Dubai,6,21,Grab,10,No,19687.5
Hyderabad,8,25,Zepto,19,No,27403.85
New York,8,24,Grab,10,Yes,121846.15
London,11,26,Zomato,12,Yes,145200.0
Lucknow,11,28,DoorDash,25,Yes,46829.33
Bengaluru,6,27,Zomato,18,No,25234.62
Jaipur,12,23,Zomato,15,No,24879.81
Chennai,9,29,Zepto,17,Yes,32850.87
Delhi NCR,8,23,Blinkit,23,Yes,38047.31
Ahmedabad,9,22,DoorDash,17,Yes,24031.3
Hyderabad,9,26,Dunzo,20,Yes,37125.0
Ahmedabad,9,28,Talabat,25,Yes,44978.37
Delhi NCR,10,27,Talabat,14,No,30894.23
Kolkata,7,22,Deliveroo,29,No,27912.5
Kochi,10,25,Zomato,21,Yes,30540.87
Singapore,9,30,Swiggy,25,Yes,169561.3
Delhi NCR,12,23,Deliveroo,28,No,63161.54
Chennai,12,29,Zepto,29,No,67926.92
Jaipur,6,24,Deliveroo,20,Yes,19038.46
Mumbai,7,26,Dunzo,23,Yes,38740.62
Bengaluru,11,21,Swiggy,13,No,25987.5
Delhi NCR,7,24,DoorDash,26,Yes,39270.0
London,12,25,Swiggy,29,Yes,368076.92
Ahmedabad,10,22,Talabat,30,No,42836.54
Lucknow,11,22,Swiggy,16,No,21407.69
Kolkata,12,25,Grab,18,Yes,37125.0
Indore,8,22,Swiggy,22,Yes,24572.31
Indore,7,25,Blinkit,26,No,26250.0
Bengaluru,6,25,Swiggy,11,Yes,15706.73
Bengaluru,10,21,Zomato,16,No,29076.92
Pune,11,20,Dunzo,14,No,22951.92
Bengaluru,7,22,Grab,28,Yes,41046.92
Mumbai,7,27,Deliveroo,27,Yes,47227.28
Chennai,7,29,Swiggy,16,Yes,24047.69
Pune,10,30,Zepto,12,No,26826.92
Kochi,9,25,Talabat,29,Yes,37957.93
Mumbai,12,26,Grab,14,Yes,40425.0
Dubai,12,25,Zepto,14,No,65625.0
Chennai,6,30,Grab,22,No,26653.85
Mumbai,12,22,Zomato,13,Yes,31762.5
Pune,6,28,Dunzo,27,Yes,37182.12
Kolkata,10,24,Talabat,29,No,43500.0
Kochi,9,27,Zepto,25,No,32127.4
Lucknow,10,28,Swiggy,15,Yes,25543.27
London,12,24,DoorDash,25,Yes,304615.38
Singapore,8,21,Blinkit,13,No,49875.0
Ahmedabad,11,20,Blinkit,10,Yes,15706.73
London,9,26,Swiggy,20,No,180000.0
Kochi,8,21,Talabat,11,Yes,10750.38
Singapore,7,26,Blinkit,20,Yes,91437.5
Chennai,9,23,Zepto,28,Yes,42912.69
Jaipur,6,28,Grab,26,Yes,28875.0
Bengaluru,8,27,Swiggy,26,Yes,53460.0
Bengaluru,11,30,Talabat,27,No,77105.77
Singapore,7,26,Swiggy,28,Yes,128012.5
London,9,28,Zepto,27,Yes,287861.54
Jaipur,8,29,Blinkit,22,No,30673.08
Indore,12,28,Talabat,20,No,38769.23
Pune,10,21,Blinkit,10,No,15649.04
Kochi,11,29,Deliveroo,12,Yes,22268.65
Chennai,8,23,Blinkit,19,No,23530.77
London,11,27,Talabat,16,No,182769.23
London,8,29,Deliveroo,17,No,151692.31
Mumbai,12,20,Blinkit,19,Yes,42201.92
New York,10,24,Talabat,26,Yes,396000.0
Jaipur,7,24,Zepto,29,No,29278.85
Mumbai,7,20,Zomato,19,No,22379.81
Hyderabad,6,27,Talabat,10,Yes,12850.96
Indore,9,28,Grab,22,Yes,35183.08
Pune,7,23,Dunzo,21,Yes,27714.45
Pune,8,30,Zomato,29,No,51865.38
Kochi,6,28,DoorDash,25,No,22211.54
Ahmedabad,6,27,Deliveroo,13,No,13668.75
London,6,28,Zomato,23,Yes,163476.92
Dubai,12,22,Swiggy,20,Yes,90750.0
New York,9,24,DoorDash,14,No,174461.54
Lucknow,7,23,Blinkit,23,Yes,22520.65
London,9,24,Zomato,10,No,83076.92
Kochi,8,20,Grab,20,No,16923.08
Lucknow,8,24,DoorDash,27,Yes,31527.69
Pune,11,20,Deliveroo,24,No,39346.15
Singapore,10,29,Dunzo,27,No,178810.1
Kolkata,6,22,Talabat,19,No,15675.0
Lucknow,10,30,Zepto,13,No,21562.5
New York,8,24,Zomato,17,Yes,207138.46
London,12,23,Swiggy,30,Yes,350307.69
Dubai,8,24,Grab,27,Yes,89100.0
Pune,9,26,Swiggy,27,Yes,51789.38
Kolkata,9,24,Swiggy,14,No,18900.0
Lucknow,9,24,Dunzo,16,No,19107.69
Kolkata,7,29,Deliveroo,12,Yes,16747.5
Indore,10,26,Deliveroo,28,Yes,46200.0
Indore,9,23,Deliveroo,11,Yes,14450.19
Chennai,6,29,Grab,10,No,11711.54
Ahmedabad,6,27,Deliveroo,26,No,27337.5
Kolkata,10,24,Dunzo,25,Yes,41250.0
Kochi,7,27,Zomato,28,Yes,30785.19
Pune,12,30,Swiggy,22,Yes,64921.15
London,9,26,Deliveroo,25,No,225000.0
Lucknow,8,25,Swiggy,30,Yes,36490.38
Hyderabad,9,20,Zomato,27,No,35048.08
Delhi NCR,10,28,Grab,23,Yes,57898.08
Indore,9,22,Dunzo,12,Yes,15078.46
Delhi NCR,9,20,Swiggy,24,Yes,38838.46
Ahmedabad,7,25,Swiggy,12,No,13629.81
New York,9,24,Swiggy,18,No,224307.69
Indore,11,22,Zepto,24,Yes,36858.46
Delhi NCR,10,28,Zomato,27,Yes,67967.31
Hyderabad,10,23,Zepto,24,No,39807.69
Jaipur,11,24,Talabat,26,Yes,45375.0
Lucknow,11,23,Zomato,21,No,29374.76
Pune,7,30,Blinkit,24,No,37557.69
New York,7,25,DoorDash,17,Yes,188798.08
Hyderabad,8,26,Zepto,24,Yes,39600.0
London,8,27,Dunzo,21,No,174461.54
Ahmedabad,12,23,Talabat,13,Yes,25616.25
Chennai,11,29,DoorDash,27,No,57972.12
Ahmedabad,8,28,Dunzo,20,No,29076.92
Kolkata,7,24,Zepto,10,No,10500.0
Jaipur,10,24,Grab,28,No,40384.62
Delhi NCR,8,26,Swiggy,17,Yes,31790.0
Hyderabad,8,22,Zepto,15,No,19038.46
Chennai,11,29,Deliveroo,11,Yes,25980.1
Indore,7,24,Grab,13,No,12600.0
New York,12,25,Zomato,15,Yes,285576.92
Chennai,7,24,Zomato,23,Yes,28608.46
Dubai,7,28,Deliveroo,24,Yes,80850.0
Hyderabad,8,24,Zomato,11,Yes,16753.85
Chennai,10,25,Deliveroo,11,Yes,20360.58
Hyderabad,9,27,Swiggy,10,No,17524.04
Lucknow,10,25,Dunzo,29,No,40084.13
Jaipur,10,29,Dunzo,12,No,20913.46
Pune,7,30,Deliveroo,22,No,34427.88
Jaipur,12,25,Deliveroo,29,Yes,57512.02
Kolkata,10,20,Grab,17,Yes,23375.0
London,11,30,Swiggy,26,Yes,363000.0
Jaipur,12,23,Dunzo,14,No,23221.15
Kolkata,8,22,Talabat,28,Yes,33880.0
Kolkata,11,23,Swiggy,29,Yes,50441.88
Kolkata,8,30,Zepto,26,No,39000.0
Indore,9,26,Zomato,19,Yes,28215.0
Delhi NCR,11,21,Grab,17,Yes,35305.24
Indore,11,21,Swiggy,18,No,23988.46
Bengaluru,7,28,Zepto,17,Yes,31718.08
Kolkata,12,25,Deliveroo,16,No,30000.0
Hyderabad,7,22,DoorDash,18,Yes,21989.42
Singapore,9,30,Zomato,14,No,86322.12
Delhi NCR,9,24,Zomato,24,Yes,46606.15
London,8,27,Zomato,16,No,132923.08
Kolkata,9,23,Deliveroo,19,No,24581.25
Pune,11,27,Zepto,28,No,61970.19
Dubai,8,28,Grab,24,No,84000.0
Dubai,7,26,Dunzo,21,Yes,65690.62
Chennai,8,23,Blinkit,10,No,12384.62
Kolkata,8,28,Zomato,18,No,25200.0
Chennai,10,21,Zepto,14,No,19788.46
Hyderabad,6,25,Zomato,20,No,21634.62
Kolkata,7,24,Zepto,15,No,15750.0
Indore,11,27,Blinkit,25,No,42836.54
Jaipur,9,27,Deliveroo,19,No,27746.39
Dubai,8,25,Zomato,21,Yes,72187.5
Singapore,7,29,Zepto,29,No,134438.7
Kolkata,11,28,Grab,17,Yes,35997.5
Dubai,10,29,Zomato,14,No,63437.5
Ahmedabad,7,21,DoorDash,14,No,13357.21
Kochi,10,30,Talabat,26,Yes,45375.0
Hyderabad,6,27,DoorDash,17,Yes,21846.63
Mumbai,10,21,Dunzo,28,Yes,54418.27
New York,7,20,Zomato,29,Yes,257653.85
Jaipur,6,29,DoorDash,28,No,29278.85
New York,8,20,Grab,14,Yes,142153.85
Ahmedabad,11,26,Zomato,10,Yes,20418.75
Lucknow,8,26,DoorDash,29,Yes,36685.0
Lucknow,10,20,Dunzo,22,No,24326.92
Bengaluru,10,29,Grab,23,No,57721.15
Lucknow,10,23,Blinkit,28,No,35605.77
Delhi NCR,11,24,Grab,26,No,56100.0
Jaipur,12,30,Deliveroo,25,Yes,59495.19
Delhi NCR,6,29,Zomato,22,Yes,34415.19
Jaipur,7,28,Swiggy,12,Yes,15548.08
Singapore,6,24,Zepto,30,Yes,108519.23
Hyderabad,11,24,Zomato,13,No,24750.0
Mumbai,12,22,Swiggy,10,Yes,24432.69
Bengaluru,9,20,Swiggy,11,Yes,18848.08
Pune,8,25,Blinkit,19,No,28317.31
Chennai,7,29,Talabat,21,No,28693.27
Jaipur,12,25,Deliveroo,15,No,27043.27
Dubai,6,26,Zomato,12,No,29250.0
New York,9,27,Dunzo,27,Yes,416371.15
Kolkata,12,30,Blinkit,15,Yes,37125.0
Bengaluru,9,28,Dunzo,10,No,21807.69
Lucknow,12,26,Grab,29,Yes,55027.5
Mumbai,11,20,Deliveroo,28,No,51826.92
Lucknow,11,20,Blinkit,28,Yes,37463.46
Pune,10,26,Grab,30,Yes,63937.5
Mumbai,6,29,Zomato,11,No,16103.37
Hyderabad,12,26,Zomato,30,Yes,74250.0
Chennai,7,26,DoorDash,23,Yes,30992.5
Delhi NCR,10,20,Swiggy,30,No,49038.46
Kochi,11,24,Zepto,23,Yes,35322.69
Bengaluru,7,26,Swiggy,10,No,15750.0
Bengaluru,12,27,Deliveroo,10,No,28038.46
Kochi,8,21,Grab,13,No,11550.0
Bengaluru,10,20,DoorDash,10,No,17307.69
Pune,7,27,Zepto,17,Yes,26337.33
Pune,10,24,Deliveroo,21,No,37557.69
Chennai,11,28,Blinkit,11,Yes,25084.23
Delhi NCR,7,20,Blinkit,14,Yes,17621.15
Singapore,9,21,Deliveroo,16,Yes,75963.46
Bengaluru,11,26,Talabat,20,No,49500.0
Chennai,12,26,Dunzo,24,Yes,55440.0
Dubai,12,30,Grab,14,Yes,86625.0
London,10,25,Zepto,25,No,240384.62
Hyderabad,11,27,Deliveroo,16,No,34269.23
Jaipur,10,21,Grab,27,No,34074.52
Delhi NCR,9,26,Grab,20,Yes,42075.0
Dubai,7,21,Swiggy,15,No,34453.12
London,8,20,Talabat,22,No,135384.62
Hyderabad,7,20,Zomato,16,Yes,17769.23
Dubai,7,28,Zomato,22,No,67375.0
Kolkata,8,24,Zomato,18,Yes,23760.0
New York,8,27,Swiggy,11,Yes,150784.62
London,8,22,DoorDash,24,Yes,178707.69
Singapore,12,22,Swiggy,17,No,102490.38
Jaipur,9,28,Dunzo,22,No,33317.31
New York,10,23,DoorDash,26,No,345000.0
Dubai,12,23,Zepto,17,Yes,80643.75
Singapore,11,25,DoorDash,25,Yes,172701.32
Singapore,12,23,Dunzo,24,No,151269.23
Dubai,6,22,Zomato,18,No,37125.0
Indore,10,27,Zepto,30,Yes,51403.85
Delhi NCR,12,27,Dunzo,12,No,31776.92
Kolkata,6,28,Grab,30,No,31500.0
Indore,10,22,Zomato,13,No,16500.0
Delhi NCR,6,24,Dunzo,16,No,18830.77
Singapore,7,20,DoorDash,28,No,89519.23
Singapore,9,27,Swiggy,29,Yes,177022.0
Kolkata,7,25,Dunzo,24,No,26250.0
Kochi,12,21,Swiggy,16,No,21323.08
Ahmedabad,9,26,Zepto,30,No,45562.5
Mumbai,10,28,Deliveroo,14,Yes,36278.85
Ahmedabad,11,25,Dunzo,17,No,30342.55
Kolkata,10,20,Dunzo,21,No,26250.0
Indore,9,27,Zepto,14,Yes,21589.62
London,6,26,Zomato,21,No,126000.0
Indore,12,25,Swiggy,22,No,38076.92
Chennai,10,26,Dunzo,21,Yes,40425.0
Ahmedabad,9,23,Blinkit,25,No,33587.74
Singapore,9,21,Grab,18,Yes,85458.89
Singapore,7,23,Swiggy,12,No,44120.19
New York,10,27,Zepto,21,Yes,359826.92
New York,12,20,Zepto,13,No,180000.0
Mumbai,8,30,Swiggy,16,Yes,35538.46
Pune,12,30,Swiggy,17,No,45605.77
Pune,12,25,Talabat,16,No,35769.23
Ahmedabad,12,22,Zepto,23,No,39409.62
Kochi,8,25,DoorDash,25,No,26442.31
Kolkata,12,29,Talabat,20,No,43500.0
Bengaluru,8,25,Dunzo,15,Yes,28557.69
Pune,10,26,Grab,22,No,42625.0
Kochi,8,22,Zomato,11,No,10238.46
Hyderabad,7,20,Deliveroo,21,Yes,23322.12
Kochi,9,27,Dunzo,23,No,29557.21
Mumbai,10,24,Talabat,11,Yes,24432.69
Pune,11,27,Swiggy,21,Yes,51125.41
Hyderabad,10,29,Talabat,25,Yes,57512.02
Delhi NCR,12,24,Deliveroo,27,Yes,69909.23
Chennai,11,25,DoorDash,10,No,18509.62
Chennai,12,20,Deliveroo,21,No,33923.08
Pune,10,27,Dunzo,10,Yes,22132.21
Ahmedabad,9,26,Swiggy,18,Yes,30071.25
Indore,9,26,Dunzo,14,No,18900.0
New York,7,29,Deliveroo,26,Yes,334950.0
Delhi NCR,9,21,Talabat,22,No,33983.65
Jaipur,8,29,Swiggy,29,No,40432.69
Kochi,9,28,Blinkit,16,Yes,23455.38
Singapore,7,22,Zomato,28,No,98471.15
Pune,11,22,Zomato,29,No,52297.6
Chennai,12,30,DoorDash,23,Yes,61303.85
Ahmedabad,12,25,Dunzo,28,Yes,59971.15
Hyderabad,12,27,Deliveroo,21,No,49067.31
